week,game,player_name,prop_type,line,over_odds,under_odds,sportsbook,scrape_timestamp
11,WAS Commanders @ MIA Dolphins,De'Von Achane,Longest Rush,19.5,−120,−110,DraftKings,2025-11-13T11:51:57.956264
11,CAR Panthers @ ATL Falcons,Rico Dowdle,Longest Rush,16.5,−115,−115,DraftKings,2025-11-13T11:51:57.956264
11,DET Lions @ PHI Eagles,Saquon Barkley,Longest Rush,16.5,−115,−115,DraftKings,2025-11-13T11:51:57.956264
11,CIN Bengals @ PIT Steelers,Jaylen Warren,Longest Rush,15.5,−125,−105,DraftKings,2025-11-13T11:51:57.956264
11,DAL Cowboys @ LV Raiders,Javonte Williams,Longest Rush,15.5,−120,−110,DraftKings,2025-11-13T11:51:57.956264
11,NY Jets @ NE Patriots,TreVeyon Henderson,Longest Rush,15.5,−120,−110,DraftKings,2025-11-13T11:51:57.956264
11,BAL Ravens @ CLE Browns,Derrick Henry,Longest Rush,15.5,−115,−115,DraftKings,2025-11-13T11:51:57.956264
11,TB Buccaneers @ BUF Bills,James Cook,Longest Rush,15.5,−115,−115,DraftKings,2025-11-13T11:51:57.956264
11,GB Packers @ NY Giants,Josh Jacobs,Longest Rush,15.5,−115,−115,DraftKings,2025-11-13T11:51:57.956264
11,CAR Panthers @ ATL Falcons,Bijan Robinson,Longest Rush,15.5,−110,−120,DraftKings,2025-11-13T11:51:57.956264
11,BAL Ravens @ CLE Browns,Quinshon Judkins,Longest Rush,15.5,−110,−120,DraftKings,2025-11-13T11:51:57.956264
11,DET Lions @ PHI Eagles,Jahmyr Gibbs,Longest Rush,15.5,−105,−125,DraftKings,2025-11-13T11:51:57.956264
11,SF 49ers @ ARI Cardinals,Christian McCaffrey,Longest Rush,14.5,−115,−115,DraftKings,2025-11-13T11:51:57.956264
11,LA Chargers @ JAX Jaguars,Kimani Vidal,Longest Rush,14.5,−115,−115,DraftKings,2025-11-13T11:51:57.956264
11,CHI Bears @ MIN Vikings,D'Andre Swift,Longest Rush,14.5,−105,−125,DraftKings,2025-11-13T11:51:57.956264
