week,game,away_team,home_team,away_spread_line,away_spread_odds,home_spread_line,home_spread_odds,away_moneyline,home_moneyline,total_line,over_odds,under_odds,scrape_timestamp
11,New York Jets @ New England Patriots,New York Jets,New England Patriots,12.5,-104,-12.5,-118,610,-900,,-102,-120,2025-11-13T11:52:24.885749
11,Washington Commanders @ Miami Dolphins,Washington Commanders,Miami Dolphins,2.5,-112,-2.5,-108,120,-142,,-104,-118,2025-11-13T11:52:24.885749
11,Chicago Bears @ Minnesota Vikings,Chicago Bears,Minnesota Vikings,2.5,-105,-2.5,-115,130,-154,,-120,-102,2025-11-13T11:52:24.885749
11,Green Bay Packers @ New York Giants,Green Bay Packers,New York Giants,-7,-118,7,-104,-360,290,,-115,-105,2025-11-13T11:52:24.885749
11,Carolina Panthers @ Atlanta Falcons,Carolina Panthers,Atlanta Falcons,3.5,-110,-3.5,-110,164,-196,,-106,-114,2025-11-13T11:52:24.885749
11,Los Angeles Chargers @ Jacksonville Jaguars,Los Angeles Chargers,Jacksonville Jaguars,-3,-105,3,-115,-156,132,,-115,-105,2025-11-13T11:52:24.885749
11,Cincinnati Bengals @ Pittsburgh Steelers,Cincinnati Bengals,Pittsburgh Steelers,5.5,-108,-5.5,-112,205,-250,,-102,-120,2025-11-13T11:52:24.885749
11,Tampa Bay Buccaneers @ Buffalo Bills,Tampa Bay Buccaneers,Buffalo Bills,5.5,-110,-5.5,-110,215,-260,,-110,-110,2025-11-13T11:52:24.885749
11,Houston Texans @ Tennessee Titans,Houston Texans,Tennessee Titans,-6.5,-110,6.5,-110,-310,250,,-110,-110,2025-11-13T11:52:24.885749
11,Seattle Seahawks @ Los Angeles Rams,Seattle Seahawks,Los Angeles Rams,3,-110,-3,-110,138,-164,,-112,-108,2025-11-13T11:52:24.885749
11,San Francisco 49ers @ Arizona Cardinals,San Francisco 49ers,Arizona Cardinals,-3,-110,3,-110,-164,138,,-115,-105,2025-11-13T11:52:24.885749
11,Kansas City Chiefs @ Denver Broncos,Kansas City Chiefs,Denver Broncos,-3.5,-120,3.5,-102,-215,180,,-115,-105,2025-11-13T11:52:24.885749
11,Baltimore Ravens @ Cleveland Browns,Baltimore Ravens,Cleveland Browns,-7.5,-110,7.5,-110,-420,330,,-105,-115,2025-11-13T11:52:24.885749
11,Detroit Lions @ Philadelphia Eagles,Detroit Lions,Philadelphia Eagles,2.5,-106,-2.5,-114,120,-142,,-114,-106,2025-11-13T11:52:24.885749
11,Dallas Cowboys @ Las Vegas Raiders,Dallas Cowboys,Las Vegas Raiders,-3.5,-105,3.5,-115,-190,160,,-105,-115,2025-11-13T11:52:24.885749
11,Buffalo Bills @ Houston Texans,Buffalo Bills,Houston Texans,-2.5,-128,2.5,104,-154,130,,-104,-118,2025-11-13T11:52:24.885749
11,Indianapolis Colts @ Kansas City Chiefs,Indianapolis Colts,Kansas City Chiefs,4.5,-108,-4.5,-112,188,-225,,-105,-115,2025-11-13T11:52:24.885749
11,New England Patriots @ Cincinnati Bengals,New England Patriots,Cincinnati Bengals,-5.5,-115,5.5,-105,-275,225,,-105,-115,2025-11-13T11:52:24.885749
11,Pittsburgh Steelers @ Chicago Bears,Pittsburgh Steelers,Chicago Bears,1.5,-105,-1.5,-115,108,-126,,-115,-105,2025-11-13T11:52:24.885749
11,New York Jets @ Baltimore Ravens,New York Jets,Baltimore Ravens,14.5,-110,-14.5,-110,980,-1800,,-115,-105,2025-11-13T11:52:24.885749
11,Seattle Seahawks @ Tennessee Titans,Seattle Seahawks,Tennessee Titans,-12.5,-110,12.5,-110,-820,570,,-110,-110,2025-11-13T11:52:24.885749
11,New York Giants @ Detroit Lions,New York Giants,Detroit Lions,9.5,100,-9.5,-122,480,-650,,-105,-115,2025-11-13T11:52:24.885749
11,Minnesota Vikings @ Green Bay Packers,Minnesota Vikings,Green Bay Packers,6.5,-118,-6.5,-104,225,-275,,-110,-110,2025-11-13T11:52:24.885749
11,Cleveland Browns @ Las Vegas Raiders,Cleveland Browns,Las Vegas Raiders,2.5,-112,-2.5,-108,110,-130,,-115,-105,2025-11-13T11:52:24.885749
11,Jacksonville Jaguars @ Arizona Cardinals,Jacksonville Jaguars,Arizona Cardinals,1.5,-118,-1.5,-104,-102,-116,,-115,-105,2025-11-13T11:52:24.885749
11,Atlanta Falcons @ New Orleans Saints,Atlanta Falcons,New Orleans Saints,-3.5,-114,3.5,-106,-198,166,,-110,-110,2025-11-13T11:52:24.885749
11,Philadelphia Eagles @ Dallas Cowboys,Philadelphia Eagles,Dallas Cowboys,-3.5,-120,3.5,-102,-215,180,,-112,-108,2025-11-13T11:52:24.885749
11,Tampa Bay Buccaneers @ Los Angeles Rams,Tampa Bay Buccaneers,Los Angeles Rams,6.5,-108,-6.5,-112,250,-310,,-120,-102,2025-11-13T11:52:24.885749
11,Carolina Panthers @ San Francisco 49ers,Carolina Panthers,San Francisco 49ers,6.5,-105,-6.5,-115,270,-335,,-115,-105,2025-11-13T11:52:24.885749
