game,away_team,home_team,spread,spread_odds,total_line,total_odds,moneyline,scrape_timestamp
NY Jets @ NE Patriots,NY Jets,NE Patriots,12.5,-105,43.5,-108,NY Jets: +575 / NE Patriots: -850,2025-11-13T11:51:57.956264
WAS Commanders @ MIA Dolphins,WAS Commanders,MIA Dolphins,2.5,-105,47.5,-112,WAS Commanders: +124 / MIA Dolphins: -148,2025-11-13T11:51:57.956264
CIN Bengals @ PIT Steelers,CIN Bengals,PIT Steelers,5.5,-108,49.5,-110,CIN Bengals: +200 / PIT Steelers: -245,2025-11-13T11:51:57.956264
TB Buccaneers @ BUF Bills,TB Buccaneers,BUF Bills,6,-112,47.5,-112,TB Buccaneers: +210 / BUF Bills: -258,2025-11-13T11:51:57.956264
HOU Texans @ TEN Titans,HOU Texans,TEN Titans,-6.5,-110,37.5,-110,HOU Texans: -310 / TEN Titans: +250,2025-11-13T11:51:57.956264
GB Packers @ NY Giants,GB Packers,NY Giants,-7,-105,42.5,-115,GB Packers: -395 / NY Giants: +310,2025-11-13T11:51:57.956264
LA Chargers @ JAX Jaguars,LA Chargers,JAX Jaguars,-3,-102,43.5,-115,LA Chargers: -155 / JAX Jaguars: +130,2025-11-13T11:51:57.956264
CHI Bears @ MIN Vikings,CHI Bears,MIN Vikings,2.5,+102,48.5,-110,CHI Bears: +124 / MIN Vikings: -148,2025-11-13T11:51:57.956264
CAR Panthers @ ATL Falcons,CAR Panthers,ATL Falcons,3.5,-112,42.5,-108,CAR Panthers: +154 / ATL Falcons: -185,2025-11-13T11:51:57.956264
SEA Seahawks @ LA Rams,SEA Seahawks,LA Rams,3,-115,48.5,-112,SEA Seahawks: +150 / LA Rams: -180,2025-11-13T11:51:57.956264
SF 49ers @ ARI Cardinals,SF 49ers,ARI Cardinals,-3,-105,48.5,-108,SF 49ers: -162 / ARI Cardinals: +136,2025-11-13T11:51:57.956264
BAL Ravens @ CLE Browns,BAL Ravens,CLE Browns,-7.5,-105,39.5,-108,BAL Ravens: -440 / CLE Browns: +340,2025-11-13T11:51:57.956264
KC Chiefs @ DEN Broncos,KC Chiefs,DEN Broncos,-3.5,-112,44.5,-108,KC Chiefs: -205 / DEN Broncos: +170,2025-11-13T11:51:57.956264
DET Lions @ PHI Eagles,DET Lions,PHI Eagles,2.5,-102,46.5,-115,DET Lions: +120 / PHI Eagles: -142,2025-11-13T11:51:57.956264
DAL Cowboys @ LV Raiders,DAL Cowboys,LV Raiders,-3.5,-110,50.5,-110,DAL Cowboys: -192 / LV Raiders: +160,2025-11-13T11:51:57.956264
BUF Bills @ HOU Texans,BUF Bills,HOU Texans,-2.5,-120,44.5,-110,BUF Bills: -155 / HOU Texans: +130,2025-11-13T11:51:57.956264
NY Giants @ DET Lions,NY Giants,DET Lions,11.5,-110,49.5,-110,NY Giants: +440 / DET Lions: -600,2025-11-13T11:51:57.956264
NE Patriots @ CIN Bengals,NE Patriots,CIN Bengals,-5.5,-110,51.5,-110,NE Patriots: -245 / CIN Bengals: +200,2025-11-13T11:51:57.956264
NY Jets @ BAL Ravens,NY Jets,BAL Ravens,14.5,-110,45.5,-110,NY Jets: +650 / BAL Ravens: -1000,2025-11-13T11:51:57.956264
SEA Seahawks @ TEN Titans,SEA Seahawks,TEN Titans,-12.5,-110,43.5,-110,SEA Seahawks: -650 / TEN Titans: +470,2025-11-13T11:51:57.956264
PIT Steelers @ CHI Bears,PIT Steelers,CHI Bears,1.5,-110,46.5,-110,PIT Steelers: +105 / CHI Bears: -125,2025-11-13T11:51:57.956264
IND Colts @ KC Chiefs,IND Colts,KC Chiefs,4.5,-110,50.5,-110,IND Colts: +180 / KC Chiefs: -218,2025-11-13T11:51:57.956264
MIN Vikings @ GB Packers,MIN Vikings,GB Packers,6.5,-110,43.5,-110,MIN Vikings: +235 / GB Packers: -290,2025-11-13T11:51:57.956264
CLE Browns @ LV Raiders,CLE Browns,LV Raiders,1.5,-110,37.5,-110,CLE Browns: +105 / LV Raiders: -125,2025-11-13T11:51:57.956264
JAX Jaguars @ ARI Cardinals,JAX Jaguars,ARI Cardinals,1.5,-110,45.5,-110,JAX Jaguars: +105 / ARI Cardinals: -125,2025-11-13T11:51:57.956264
ATL Falcons @ NO Saints,ATL Falcons,NO Saints,-3,-120,41.5,-110,ATL Falcons: -166 / NO Saints: +140,2025-11-13T11:51:57.956264
PHI Eagles @ DAL Cowboys,PHI Eagles,DAL Cowboys,-3.5,-115,50.5,-110,PHI Eagles: -205 / DAL Cowboys: +170,2025-11-13T11:51:57.956264
TB Buccaneers @ LA Rams,TB Buccaneers,LA Rams,6,-110,49.5,-110,TB Buccaneers: +220 / LA Rams: -270,2025-11-13T11:51:57.956264
CAR Panthers @ SF 49ers,CAR Panthers,SF 49ers,7,-120,45.5,-110,CAR Panthers: +250 / SF 49ers: -310,2025-11-13T11:51:57.956264
