GameKey,season,home_team,away_team,home_score,away_score,home_team_win,home_AvgGainPerPass,home_AvgGainPerRush,home_AvgGainPlay,home_CompletionPct,home_ExtraPointAttempts,home_ExtraPointSuccesses,home_FGs,home_FairCatches,home_FieldGoalAttempts,home_FieldGoalSuccesses,home_FirstDowns,home_FirstDownsP,home_FirstDownsPn,home_FirstDownsR,home_FourthDown,home_FourthDownConversionAttempts,home_FourthDownConversionSuccesses,home_FourthDownPct,home_Fumbles,home_FumblesLost,home_FumblesOrig,home_GameDateShort,home_GoalToGo,home_GoalToGoConversionAttempts,home_GoalToGoConversionSuccesses,home_GoalToGoPct,home_GrossPuntingAverage,home_GrossYardsPassing,home_Inside20,home_Interceptions,home_KickoffReturnAvg,home_KickoffReturnYards,home_KickoffReturns,home_NPA,home_NetYardsPassing,home_NetYardsRushing,home_PATs,home_PassAttempts,home_PassCompletions,home_PassingFirstDowns,home_Penalties,home_PenaltyFirstDowns,home_PenaltyYards,home_Points,home_PointsOT,home_PointsQ1,home_PointsQ2,home_PointsQ3,home_PointsQ4,home_PuntReturnAvg,home_PuntReturns,home_PuntTouchbacks,home_PuntYards,home_Punts,home_PuntsBlocked,home_PuntsInside20,home_PuntsReturnYards,home_PuntsReturnYardsInverse,home_RedZone,home_RedZoneConversionAttempts,home_RedZoneConversionSuccesses,home_RedZonePct,home_RushingFirstDowns,home_RushingPlays,home_SackYardageLost,home_Safeties,home_Season,home_TDs,home_ThirdDown,home_ThirdDownConversionAttempts,home_ThirdDownConversionSuccesses,home_ThirdDownPct,home_TimeOfPossessionMinutes,home_TimeOfPossessionSeconds,home_TimeofPossession,home_TimesSacked,home_TotalFirstDowns,home_TotalNetYards,home_TotalOffPlays,home_TotalPlays,home_TotalRushingPlays,home_Touchbacks,home_TouchdownsPassing,home_TouchdownsRushing,home_TouchdownsTotal,home_TwoPnt,home_TwoPointPassingAttempts,home_TwoPointPassingSuccesses,home_TwoPointRushingAttempts,home_TwoPointRushingSuccesses,home_YardsLostonSacks,away_AvgGainPerPass,away_AvgGainPerRush,away_AvgGainPlay,away_CompletionPct,away_ExtraPointAttempts,away_ExtraPointSuccesses,away_FGs,away_FairCatches,away_FieldGoalAttempts,away_FieldGoalSuccesses,away_FirstDowns,away_FirstDownsP,away_FirstDownsPn,away_FirstDownsR,away_FourthDown,away_FourthDownConversionAttempts,away_FourthDownConversionSuccesses,away_FourthDownPct,away_Fumbles,away_FumblesLost,away_FumblesOrig,away_GameDateShort,away_GoalToGo,away_GoalToGoConversionAttempts,away_GoalToGoConversionSuccesses,away_GoalToGoPct,away_GrossPuntingAverage,away_GrossYardsPassing,away_Inside20,away_Interceptions,away_KickoffReturnAvg,away_KickoffReturnYards,away_KickoffReturns,away_NPA,away_NetYardsPassing,away_NetYardsRushing,away_PATs,away_PassAttempts,away_PassCompletions,away_PassingFirstDowns,away_Penalties,away_PenaltyFirstDowns,away_PenaltyYards,away_Points,away_PointsOT,away_PointsQ1,away_PointsQ2,away_PointsQ3,away_PointsQ4,away_PuntReturnAvg,away_PuntReturns,away_PuntTouchbacks,away_PuntYards,away_Punts,away_PuntsBlocked,away_PuntsInside20,away_PuntsReturnYards,away_PuntsReturnYardsInverse,away_RedZone,away_RedZoneConversionAttempts,away_RedZoneConversionSuccesses,away_RedZonePct,away_RushingFirstDowns,away_RushingPlays,away_SackYardageLost,away_Safeties,away_Season,away_TDs,away_ThirdDown,away_ThirdDownConversionAttempts,away_ThirdDownConversionSuccesses,away_ThirdDownPct,away_TimeOfPossessionMinutes,away_TimeOfPossessionSeconds,away_TimeofPossession,away_TimesSacked,away_TotalFirstDowns,away_TotalNetYards,away_TotalOffPlays,away_TotalPlays,away_TotalRushingPlays,away_Touchbacks,away_TouchdownsPassing,away_TouchdownsRushing,away_TouchdownsTotal,away_TwoPnt,away_TwoPointPassingAttempts,away_TwoPointPassingSuccesses,away_TwoPointRushingAttempts,away_TwoPointRushingSuccesses,away_YardsLostonSacks
59657,2024,DAL,PHI,6,34,1,1.5,4.0,2.6,58.62%,0,0,2-2,1,2,2,11,4,2,5,2-2,2,2,100.00%,4-4,4,4,11/10,0-2,2,0,0.00%,50.7,66,2,1,41.5,83,2,43.5,49,97,0-0,29,17,4,5,2,40,6,0,3,3,0,0,0.0,0,0,304,6,0,2,0,43,0-2,2,0,0.00%,5,24,17,0,,0-0-0,3-14,14,3,21.43%,25,59,25:59,3,11,146,56,56,24,0,0,0,0,0-0,0,0,0,0,17,6.0,4.9,5.4,68.18%,4,4,2-2,2,2,2,24,9,4,11,1-1,1,1,100.00%,1-1,1,1,11/10,3-3,3,3,100.00%,52.0,207,1,1,29.0,87,3,42.0,161,187,4-4,22,15,9,7,4,49,34,0,7,7,14,6,14.3,3,2,208,4,0,1,43,0,4-5,5,4,80.00%,11,38,46,0,,2-2-0,4-11,11,4,36.36%,34,1,34:01,5,24,348,65,65,38,2,2,2,4,0-0,0,0,0,0,46
59673,2024,DAL,HST,10,34,0,5.3,3.6,4.9,58.93%,1,1,1-2,2,2,1,24,17,4,3,0-4,4,0,0.00%,3-1,1,3,11/18,0-0,0,0,0.00%,41.0,358,1,1,28.0,56,2,41.0,324,64,1-1,56,33,17,9,4,66,10,0,0,10,0,0,0.0,0,0,82,2,0,1,0,0,0-1,1,0,0.00%,3,18,34,0,,0-1-0,5-15,15,5,33.33%,29,23,29:23,5,24,388,79,79,18,0,1,0,1,0-0,0,0,0,0,34,7.1,5.6,6.5,67.65%,4,4,2-2,2,2,2,21,13,2,6,1-2,2,1,50.00%,0-0,0,0,11/18,2-2,2,2,100.00%,52.5,257,3,1,13.0,26,2,47.5,250,141,4-4,34,23,13,9,2,69,34,0,14,3,3,14,0.0,0,1,210,4,0,3,0,0,2-4,4,2,50.00%,6,25,7,0,,3-0-1,4-12,12,4,33.33%,30,37,30:37,1,21,391,60,60,25,1,0,3,4,0-0,0,0,0,0,7
59688,2024,DAL,NYG,27,20,1,5.4,3.8,4.7,58.33%,3,3,2-2,2,2,2,21,10,4,7,0-1,1,0,0.00%,2-0,0,2,11/28,2-2,2,2,100.00%,47.2,195,2,0,0.0,0,0,33.4,195,122,3-3,36,21,10,6,4,48,27,0,3,10,14,0,-1.5,2,2,236,5,0,2,-3,29,2-4,4,2,50.00%,7,32,0,0,,1-1-1,7-15,15,7,46.67%,31,36,31:36,0,21,317,68,68,32,2,1,1,3,0-0,0,0,0,0,0,3.4,5.5,4.2,65.63%,2,2,2-2,1,2,2,17,8,2,7,1-1,1,1,100.00%,2-1,1,2,11/28,2-2,2,2,100.00%,45.6,178,2,1,36.0,36,1,46.2,131,116,2-2,32,21,8,13,2,98,20,0,7,3,0,10,14.5,2,0,228,5,0,2,29,-3,2-2,2,2,100.00%,7,21,47,0,,2-0-0,3-12,12,3,25.00%,28,24,28:24,6,17,247,59,59,21,0,0,2,2,0-0,0,0,0,0,47
59715,2024,DAL,CIN,20,27,0,4.9,6.2,5.5,51.61%,2,2,2-2,0,2,2,17,9,1,7,1-2,2,1,50.00%,1-1,1,1,12/9,1-1,1,1,100.00%,49.5,183,1,1,0.0,0,0,43.3,166,156,2-2,31,16,9,4,1,36,20,0,7,3,7,3,10.0,2,0,198,4,0,1,20,25,2-4,4,2,50.00%,7,25,17,0,,0-2-0,4-12,12,4,33.33%,26,49,26:49,3,17,322,59,59,25,0,2,0,2,0-0,0,0,0,0,17,7.8,3.9,6.7,75.00%,3,3,2-2,0,2,2,23,18,1,4,0-1,1,0,0.00%,1-0,0,1,12/9,1-1,1,1,100.00%,40.3,369,0,1,33.5,67,2,27.0,359,74,3-3,44,33,18,10,1,77,27,0,7,10,0,10,6.3,4,1,121,3,0,0,25,20,2-4,4,2,50.00%,4,19,10,0,,0-3-0,4-10,10,4,40.00%,33,11,33:11,2,23,433,65,65,19,1,3,0,3,0-0,0,0,0,0,10
59746,2024,DAL,TB,26,24,1,7.9,1.6,5.7,74.29%,2,2,4-4,1,4,4,15,12,1,2,0-0,0,0,0.00%,0-0,0,0,12/22,1-1,1,1,100.00%,49.2,292,2,0,0.0,0,0,43.0,286,31,2-2,35,26,12,5,1,30,26,0,10,13,3,0,10.0,2,0,246,5,0,2,20,31,2-2,2,2,100.00%,2,20,6,0,,1-1-0,5-15,15,5,33.33%,27,12,27:12,1,15,317,56,56,20,0,1,1,2,0-0,0,0,0,0,6,5.9,5.8,5.9,72.09%,3,3,1-1,1,1,1,25,14,0,11,0-1,1,0,0.00%,3-1,1,3,12/22,1-1,1,1,100.00%,44.8,303,0,1,34.5,69,2,34.8,276,134,3-3,43,31,14,6,0,47,24,0,0,14,3,7,7.8,4,1,179,4,0,0,31,20,3-3,3,3,100.00%,11,23,27,0,,1-2-0,6-12,12,6,50.00%,32,48,32:48,4,25,410,70,70,23,1,2,1,3,0-0,0,0,0,0,27
59767,2024,DAL,WAS,19,23,0,6.3,3.8,5.0,58.82%,1,1,4-4,3,4,4,23,12,2,9,1-2,2,1,50.00%,0-0,0,0,1/5,1-4,4,1,25.00%,49.5,244,1,0,30.0,30,1,43.8,228,150,1-1,34,20,12,11,2,68,19,0,3,3,3,10,2.0,1,0,198,4,0,1,2,23,1-6,6,1,16.67%,9,39,16,0,,1-0-0,7-17,17,7,41.18%,37,3,37:03,2,23,378,75,75,39,0,0,1,1,0-0,0,0,0,0,16,4.2,6.3,4.9,67.74%,2,2,1-1,1,1,1,18,11,1,6,1-1,1,1,100.00%,1-1,1,1,1/5,3-3,3,3,100.00%,47.6,199,3,0,0.0,0,0,47.2,156,113,2-2,31,21,11,5,1,55,23,0,0,3,7,13,7.7,3,0,238,5,0,3,23,2,3-3,3,3,100.00%,6,18,43,0,,1-2-0,6-13,13,6,46.15%,22,57,22:57,6,18,269,55,55,18,0,2,1,3,0-1,1,0,0,0,43
59536,2024,DEN,PIT,6,13,1,6.2,3.4,5.3,57.14%,0,0,2-2,1,2,2,13,8,0,5,1-2,2,1,50.00%,0-0,0,0,9/15,0-1,1,0,0.00%,52.5,246,3,2,0.0,0,0,48.0,231,64,0-0,35,20,8,9,0,124,6,0,0,0,0,6,6.7,3,0,315,6,0,3,20,27,0-3,3,0,0.00%,5,19,15,0,,0-0-0,2-12,12,2,16.67%,27,41,27:41,2,13,295,56,56,19,0,0,0,0,0-0,0,0,0,0,15,5.0,3.9,4.3,65.00%,1,1,2-2,0,2,2,16,7,5,4,0-0,0,0,0.00%,1-0,0,1,9/15,1-1,1,1,100.00%,53.0,117,2,0,13.0,13,1,43.0,110,141,1-1,20,13,7,10,5,78,13,0,7,3,3,0,5.4,5,3,424,8,0,2,27,20,1-2,2,1,50.00%,4,36,7,0,,0-1-0,4-13,13,4,30.77%,32,19,32:19,2,16,251,58,58,36,3,1,0,1,0-0,0,0,0,0,7
59580,2024,DEN,LV,34,18,1,6.0,3.9,5.0,70.37%,4,4,2-2,0,2,2,18,9,3,6,1-1,1,1,100.00%,1-0,0,1,10/6,3-3,3,3,100.00%,43.2,206,3,0,30.5,61,2,39.8,180,109,4-4,27,19,9,9,3,44,34,0,0,13,7,14,27.0,2,1,259,6,0,3,54,0,3-4,4,3,75.00%,6,28,26,0,,1-2-1,3-12,12,3,25.00%,28,37,28:37,3,18,289,58,58,28,1,2,1,4,0-0,0,0,0,0,26,5.4,4.6,5.1,59.46%,1,1,1-1,3,1,1,20,13,2,5,0-1,1,0,0.00%,0-0,0,0,10/6,1-2,2,1,50.00%,53.4,231,2,3,23.0,23,1,42.6,215,115,1-1,37,22,13,11,2,79,18,0,10,0,0,8,0.0,0,0,267,5,0,2,0,54,1-2,2,1,50.00%,5,25,16,0,,1-1-0,7-15,15,7,46.67%,31,23,31:23,3,20,330,65,65,25,0,1,1,2,1-1,0,0,1,1,16
59594,2024,DEN,LAC,16,23,0,5.9,6.1,6.0,57.58%,1,1,1-1,1,1,1,17,10,0,7,2-2,2,2,100.00%,1-1,1,1,10/13,1-1,1,1,100.00%,46.6,216,3,1,31.0,31,1,41.4,206,110,1-1,33,19,10,7,0,37,16,0,0,0,0,16,10.0,1,0,233,5,0,3,10,26,2-2,2,2,100.00%,7,18,10,0,,0-2-0,3-11,11,3,27.27%,22,37,22:37,2,17,316,53,53,18,0,2,0,2,0-1,1,0,0,0,10,6.0,3.4,4.7,61.76%,2,2,3-3,2,3,3,22,10,2,10,0-0,0,0,0.00%,1-0,0,1,10/13,0-2,2,0,0.00%,39.8,237,3,0,0.0,0,0,37.3,222,128,2-2,34,21,10,3,2,20,23,0,10,10,3,0,13.0,2,0,159,4,0,3,26,10,1-3,3,1,33.33%,10,38,15,0,,1-1-0,11-18,18,11,61.11%,37,23,37:23,3,22,350,75,75,38,0,1,1,2,0-0,0,0,0,0,15
59627,2024,DEN,CAR,28,14,1,7.3,3.2,5.5,76.92%,4,4,0-0,4,0,0,23,16,1,6,1-2,2,1,50.00%,2-2,2,2,10/27,3-3,3,3,100.00%,51.0,315,2,0,0.0,0,0,44.3,298,102,4-4,39,30,16,4,1,43,28,0,0,21,7,0,0.0,1,1,153,3,0,2,0,0,4-5,5,4,80.00%,6,32,17,0,,1-3-0,11-17,17,11,64.71%,33,10,33:10,2,23,400,73,73,32,1,3,1,4,0-0,0,0,0,0,17,5.4,3.5,4.7,63.16%,2,2,0-0,1,0,0,16,11,2,3,1-4,4,1,25.00%,0-0,0,0,10/27,1-1,1,1,100.00%,49.4,224,1,2,0.0,0,0,49.4,215,69,2-2,38,24,11,8,2,49,14,0,7,0,0,7,0.0,0,0,247,5,0,1,0,0,2-3,3,2,66.67%,3,20,9,0,,0-2-0,5-14,14,5,35.71%,26,50,26:50,2,16,284,60,60,20,0,2,0,2,0-0,0,0,0,0,9
