week,game,away_team,home_team,away_spread_line,away_spread_odds,home_spread_line,home_spread_odds,away_moneyline,home_moneyline,total_line,over_odds,under_odds,scrape_timestamp
8,Minnesota Vikings @ Los Angeles Chargers,Minnesota Vikings,Los Angeles Chargers,3,-102,-3,-120,154,-184,44.5,-110,-110,2025-10-23T16:04:49.527042
8,Buffalo Bills @ Carolina Panthers,Buffalo Bills,Carolina Panthers,-7.5,-102,7.5,-120,-390,310,46.5,-105,-115,2025-10-23T16:04:49.527042
8,New York Jets @ Cincinnati Bengals,New York Jets,Cincinnati Bengals,6.5,-110,-6.5,-110,260,-320,44.5,-110,-110,2025-10-23T16:04:49.527042
8,Chicago Bears @ Baltimore Ravens,Chicago Bears,Baltimore Ravens,6.5,-110,-6.5,-110,245,-300,49.5,-110,-110,2025-10-23T16:04:49.527042
8,Cleveland Browns @ New England Patriots,Cleveland Browns,New England Patriots,7,-114,-7,-106,290,-360,40.5,-105,-115,2025-10-23T16:04:49.527042
8,San Francisco 49ers @ Houston Texans,San Francisco 49ers,Houston Texans,1.5,-105,-1.5,-115,112,-132,41.5,-106,-114,2025-10-23T16:04:49.527042
8,Miami Dolphins @ Atlanta Falcons,Miami Dolphins,Atlanta Falcons,7.5,-112,-7.5,-108,330,-420,44.5,-114,-106,2025-10-23T16:04:49.527042
8,New York Giants @ Philadelphia Eagles,New York Giants,Philadelphia Eagles,7.5,-120,-7.5,-102,300,-375,43.5,-114,-106,2025-10-23T16:04:49.527042
8,Tampa Bay Buccaneers @ New Orleans Saints,Tampa Bay Buccaneers,New Orleans Saints,-4.5,-104,4.5,-118,-215,180,46.5,-108,-112,2025-10-23T16:04:49.527042
8,Tennessee Titans @ Indianapolis Colts,Tennessee Titans,Indianapolis Colts,14.5,-118,-14.5,-104,750,-1200,46.5,-120,-102,2025-10-23T16:04:49.527042
8,Dallas Cowboys @ Denver Broncos,Dallas Cowboys,Denver Broncos,3.5,-115,-3.5,-105,144,-172,50.5,-118,-104,2025-10-23T16:04:49.527042
8,Green Bay Packers @ Pittsburgh Steelers,Green Bay Packers,Pittsburgh Steelers,-3,-102,3,-120,-154,130,45.5,-105,-115,2025-10-23T16:04:49.527042
8,Washington Commanders @ Kansas City Chiefs,Washington Commanders,Kansas City Chiefs,11.5,-102,-11.5,-120,590,-850,47.5,-105,-115,2025-10-23T16:04:49.527042
8,Baltimore Ravens @ Miami Dolphins,Baltimore Ravens,Miami Dolphins,-8.5,-105,8.5,-115,-420,330,48.5,-105,-115,2025-10-23T16:04:49.527042
8,Atlanta Falcons @ New England Patriots,Atlanta Falcons,New England Patriots,2.5,100,-2.5,-122,130,-154,45.5,-105,-115,2025-10-23T16:04:49.527042
8,Carolina Panthers @ Green Bay Packers,Carolina Panthers,Green Bay Packers,10.5,-108,-10.5,-112,460,-620,43.5,-105,-115,2025-10-23T16:04:49.527042
