game,away_team,home_team,spread,spread_odds,total_line,total_odds,moneyline,scrape_timestamp
MIN Vikings @ LA Chargers,MIN Vikings,LA Chargers,3,+100,44.5,-112,MIN Vikings: +140 / LA Chargers: -166,2025-10-23T16:05:05.254236
BUF Bills @ CAR Panthers,BUF Bills,CAR Panthers,-7,-120,46.5,-108,BUF Bills: -380 / CAR Panthers: +300,2025-10-23T16:05:05.254236
NY Jets @ CIN Bengals,NY Jets,CIN Bengals,6.5,-112,44.5,-110,NY Jets: +235 / CIN Bengals: -290,2025-10-23T16:05:05.254236
CLE Browns @ NE Patriots,CLE Browns,NE Patriots,7,-115,40.5,-115,CLE Browns: +295 / NE Patriots: -375,2025-10-23T16:05:05.254236
MIA Dolphins @ ATL Falcons,MIA Dolphins,ATL Falcons,7.5,-105,44.5,-115,MIA Dolphins: +340 / ATL Falcons: -440,2025-10-23T16:05:05.254236
NY Giants @ PHI Eagles,NY Giants,PHI Eagles,7.5,-120,43.5,-118,NY Giants: +320 / PHI Eagles: -410,2025-10-23T16:05:05.254236
CHI Bears @ BAL Ravens,CHI Bears,BAL Ravens,6.5,-115,49.5,-112,CHI Bears: +240 / BAL Ravens: -298,2025-10-23T16:05:05.254236
SF 49ers @ HOU Texans,SF 49ers,HOU Texans,1.5,-118,41.5,-110,SF 49ers: -105 / HOU Texans: -115,2025-10-23T16:05:05.254236
TB Buccaneers @ NO Saints,TB Buccaneers,NO Saints,-4.5,-108,46.5,-110,TB Buccaneers: -225 / NO Saints: +185,2025-10-23T16:05:05.254236
TEN Titans @ IND Colts,TEN Titans,IND Colts,14.5,-112,47.5,-115,TEN Titans: +850 / IND Colts: -1450,2025-10-23T16:05:05.254236
DAL Cowboys @ DEN Broncos,DAL Cowboys,DEN Broncos,3.5,-115,50.5,-112,DAL Cowboys: +150 / DEN Broncos: -180,2025-10-23T16:05:05.254236
GB Packers @ PIT Steelers,GB Packers,PIT Steelers,-3,-105,45.5,-115,GB Packers: -162 / PIT Steelers: +136,2025-10-23T16:05:05.254236
WAS Commanders @ KC Chiefs,WAS Commanders,KC Chiefs,12.5,-112,47.5,-112,WAS Commanders: +550 / KC Chiefs: -800,2025-10-23T16:05:05.254236
BAL Ravens @ MIA Dolphins,BAL Ravens,MIA Dolphins,-7.5,-110,50.5,-110,BAL Ravens: -395 / MIA Dolphins: +310,2025-10-23T16:05:05.254236
MIN Vikings @ DET Lions,MIN Vikings,DET Lions,7.5,-105,48.5,-110,MIN Vikings: +340 / DET Lions: -440,2025-10-23T16:05:05.254236
IND Colts @ PIT Steelers,IND Colts,PIT Steelers,-3,-102,48.5,-118,IND Colts: -148 / PIT Steelers: +124,2025-10-23T16:05:05.254236
CHI Bears @ CIN Bengals,CHI Bears,CIN Bengals,-1.5,-105,48.5,-110,CHI Bears: -118 / CIN Bengals: -102,2025-10-23T16:05:05.254236
LA Chargers @ TEN Titans,LA Chargers,TEN Titans,-7.5,-110,43.5,-110,LA Chargers: -410 / TEN Titans: +320,2025-10-23T16:05:05.254236
CAR Panthers @ GB Packers,CAR Panthers,GB Packers,10.5,-110,44.5,-110,CAR Panthers: +455 / GB Packers: -625,2025-10-23T16:05:05.254236
ATL Falcons @ NE Patriots,ATL Falcons,NE Patriots,2.5,-102,45.5,-110,ATL Falcons: +124 / NE Patriots: -148,2025-10-23T16:05:05.254236
SF 49ers @ NY Giants,SF 49ers,NY Giants,-3,-110,46.5,-110,SF 49ers: -162 / NY Giants: +136,2025-10-23T16:05:05.254236
DEN Broncos @ HOU Texans,DEN Broncos,HOU Texans,-1.5,-102,38.5,-110,DEN Broncos: -115 / HOU Texans: -105,2025-10-23T16:05:05.254236
JAX Jaguars @ LV Raiders,JAX Jaguars,LV Raiders,-3,-115,44.5,-110,JAX Jaguars: -166 / LV Raiders: +140,2025-10-23T16:05:05.254236
NO Saints @ LA Rams,NO Saints,LA Rams,12.5,-110,45.5,-110,NO Saints: +525 / LA Rams: -750,2025-10-23T16:05:05.254236
KC Chiefs @ BUF Bills,KC Chiefs,BUF Bills,-1.5,-110,50.5,-110,KC Chiefs: -125 / BUF Bills: +105,2025-10-23T16:05:05.254236
SEA Seahawks @ WAS Commanders,SEA Seahawks,WAS Commanders,-3,-110,45.5,-110,SEA Seahawks: -162 / WAS Commanders: +136,2025-10-23T16:05:05.254236
ARI Cardinals @ DAL Cowboys,ARI Cardinals,DAL Cowboys,3.5,-118,51.5,-115,ARI Cardinals: +145 / DAL Cowboys: -175,2025-10-23T16:05:05.254236
BUF Bills @ CAR Panthers,BUF Bills,CAR Panthers,-7,-112,46.5,-108,BUF Bills: -380 / CAR Panthers: +300,2025-10-24T18:46:07.257878
NY Jets @ CIN Bengals,NY Jets,CIN Bengals,6,-112,44.5,-112,NY Jets: +230 / CIN Bengals: -285,2025-10-24T18:46:07.257878
CLE Browns @ NE Patriots,CLE Browns,NE Patriots,7,-115,40.5,-115,CLE Browns: +280 / NE Patriots: -355,2025-10-24T18:46:07.257878
MIA Dolphins @ ATL Falcons,MIA Dolphins,ATL Falcons,7.5,-105,44.5,-115,MIA Dolphins: +320 / ATL Falcons: -410,2025-10-24T18:46:07.257878
NY Giants @ PHI Eagles,NY Giants,PHI Eagles,7.5,-120,43.5,-118,NY Giants: +310 / PHI Eagles: -395,2025-10-24T18:46:07.257878
CHI Bears @ BAL Ravens,CHI Bears,BAL Ravens,7,-110,49.5,-118,CHI Bears: +280 / BAL Ravens: -355,2025-10-24T18:46:07.257878
SF 49ers @ HOU Texans,SF 49ers,HOU Texans,1.5,-110,42.5,-110,SF 49ers: +105 / HOU Texans: -125,2025-10-24T18:46:07.257878
