game,away_team,home_team,spread,spread_odds,total_line,total_odds,moneyline,scrape_timestamp
TB Buccaneers @ NO Saints,TB Buccaneers,NO Saints,-4.5,-108,46.5,-110,TB Buccaneers: -225 / NO Saints: +185,2025-10-24T18:46:07.257878
TEN Titans @ IND Colts,TEN Titans,IND Colts,14.5,-108,47.5,-120,TEN Titans: +900 / IND Colts: -1600,2025-10-24T18:46:07.257878
DAL Cowboys @ DEN Broncos,DAL Cowboys,DEN Broncos,3.5,-115,50.5,-112,DAL Cowboys: +150 / DEN Broncos: -180,2025-10-24T18:46:07.257878
GB Packers @ PIT Steelers,GB Packers,PIT Steelers,-3,-105,45.5,-115,GB Packers: -162 / PIT Steelers: +136,2025-10-24T18:46:07.257878
WAS Commanders @ KC Chiefs,WAS Commanders,KC Chiefs,12.5,-112,47.5,-112,WAS Commanders: +550 / KC Chiefs: -800,2025-10-24T18:46:07.257878
BAL Ravens @ MIA Dolphins,BAL Ravens,MIA Dolphins,-7.5,-110,50.5,-110,BAL Ravens: -395 / MIA Dolphins: +310,2025-10-24T18:46:07.257878
MIN Vikings @ DET Lions,MIN Vikings,DET Lions,8.5,-115,47.5,-110,MIN Vikings: +360 / DET Lions: -470,2025-10-24T18:46:07.257878
IND Colts @ PIT Steelers,IND Colts,PIT Steelers,-2.5,-118,49.5,-105,IND Colts: -148 / PIT Steelers: +124,2025-10-24T18:46:07.257878
CAR Panthers @ GB Packers,CAR Panthers,GB Packers,10.5,-110,44.5,-110,CAR Panthers: +470 / GB Packers: -650,2025-10-24T18:46:07.257878
LA Chargers @ TEN Titans,LA Chargers,TEN Titans,-8.5,-110,43.5,-110,LA Chargers: -470 / TEN Titans: +360,2025-10-24T18:46:07.257878
CHI Bears @ CIN Bengals,CHI Bears,CIN Bengals,-1.5,-102,48.5,-110,CHI Bears: -112 / CIN Bengals: -108,2025-10-24T18:46:07.257878
ATL Falcons @ NE Patriots,ATL Falcons,NE Patriots,2.5,-102,45.5,-110,ATL Falcons: +124 / NE Patriots: -148,2025-10-24T18:46:07.257878
SF 49ers @ NY Giants,SF 49ers,NY Giants,-3,-105,45.5,-112,SF 49ers: -155 / NY Giants: +130,2025-10-24T18:46:07.257878
DEN Broncos @ HOU Texans,DEN Broncos,HOU Texans,-1.5,-108,38.5,-110,DEN Broncos: -122 / HOU Texans: +102,2025-10-24T18:46:07.257878
NO Saints @ LA Rams,NO Saints,LA Rams,12.5,-110,45.5,-110,NO Saints: +525 / LA Rams: -750,2025-10-24T18:46:07.257878
JAX Jaguars @ LV Raiders,JAX Jaguars,LV Raiders,-3,-108,44.5,-110,JAX Jaguars: -155 / LV Raiders: +130,2025-10-24T18:46:07.257878
KC Chiefs @ BUF Bills,KC Chiefs,BUF Bills,-1.5,-110,50.5,-110,KC Chiefs: -125 / BUF Bills: +105,2025-10-24T18:46:07.257878
SEA Seahawks @ WAS Commanders,SEA Seahawks,WAS Commanders,-3,-110,45.5,-110,SEA Seahawks: -162 / WAS Commanders: +136,2025-10-24T18:46:07.257878
ARI Cardinals @ DAL Cowboys,ARI Cardinals,DAL Cowboys,3.5,-118,52.5,-105,ARI Cardinals: +145 / DAL Cowboys: -175,2025-10-24T18:46:07.257878
BUF Bills @ CAR Panthers,BUF Bills,CAR Panthers,-7,-112,46.5,-108,BUF Bills: -360 / CAR Panthers: +285,2025-10-25T00:13:14.181086
NY Jets @ CIN Bengals,NY Jets,CIN Bengals,6,-112,44.5,-112,NY Jets: +230 / CIN Bengals: -285,2025-10-25T00:13:14.181086
CLE Browns @ NE Patriots,CLE Browns,NE Patriots,7,-115,40.5,-115,CLE Browns: +280 / NE Patriots: -355,2025-10-25T00:13:14.181086
MIA Dolphins @ ATL Falcons,MIA Dolphins,ATL Falcons,7.5,-105,44.5,-115,MIA Dolphins: +310 / ATL Falcons: -395,2025-10-25T00:13:14.181086
NY Giants @ PHI Eagles,NY Giants,PHI Eagles,7.5,-120,43.5,-118,NY Giants: +310 / PHI Eagles: -395,2025-10-25T00:13:14.181086
CHI Bears @ BAL Ravens,CHI Bears,BAL Ravens,7,-110,49.5,-118,CHI Bears: +280 / BAL Ravens: -355,2025-10-25T00:13:14.181086
SF 49ers @ HOU Texans,SF 49ers,HOU Texans,1.5,-110,42.5,-110,SF 49ers: +105 / HOU Texans: -125,2025-10-25T00:13:14.181086
TB Buccaneers @ NO Saints,TB Buccaneers,NO Saints,-4.5,-108,46.5,-110,TB Buccaneers: -225 / NO Saints: +185,2025-10-25T00:13:14.181086
TEN Titans @ IND Colts,TEN Titans,IND Colts,14.5,-108,47.5,-120,TEN Titans: +900 / IND Colts: -1600,2025-10-25T00:13:14.181086
DAL Cowboys @ DEN Broncos,DAL Cowboys,DEN Broncos,3.5,-115,50.5,-112,DAL Cowboys: +150 / DEN Broncos: -180,2025-10-25T00:13:14.181086
GB Packers @ PIT Steelers,GB Packers,PIT Steelers,-3,-105,45.5,-115,GB Packers: -162 / PIT Steelers: +136,2025-10-25T00:13:14.181086
WAS Commanders @ KC Chiefs,WAS Commanders,KC Chiefs,12.5,-112,47.5,-112,WAS Commanders: +550 / KC Chiefs: -800,2025-10-25T00:13:14.181086
BAL Ravens @ MIA Dolphins,BAL Ravens,MIA Dolphins,-7.5,-110,50.5,-110,BAL Ravens: -395 / MIA Dolphins: +310,2025-10-25T00:13:14.181086
MIN Vikings @ DET Lions,MIN Vikings,DET Lions,8.5,-115,47.5,-110,MIN Vikings: +360 / DET Lions: -470,2025-10-25T00:13:14.181086
IND Colts @ PIT Steelers,IND Colts,PIT Steelers,-2.5,-118,49.5,-105,IND Colts: -148 / PIT Steelers: +124,2025-10-25T00:13:14.181086
CAR Panthers @ GB Packers,CAR Panthers,GB Packers,10.5,-110,44.5,-110,CAR Panthers: +470 / GB Packers: -650,2025-10-25T00:13:14.181086
CHI Bears @ CIN Bengals,CHI Bears,CIN Bengals,-1.5,-102,48.5,-110,CHI Bears: -112 / CIN Bengals: -108,2025-10-25T00:13:14.181086
LA Chargers @ TEN Titans,LA Chargers,TEN Titans,-8.5,-110,43.5,-110,LA Chargers: -470 / TEN Titans: +360,2025-10-25T00:13:14.181086
ATL Falcons @ NE Patriots,ATL Falcons,NE Patriots,2.5,-102,45.5,-110,ATL Falcons: +124 / NE Patriots: -148,2025-10-25T00:13:14.181086
SF 49ers @ NY Giants,SF 49ers,NY Giants,-3,-105,45.5,-112,SF 49ers: -155 / NY Giants: +130,2025-10-25T00:13:14.181086
DEN Broncos @ HOU Texans,DEN Broncos,HOU Texans,-1.5,-108,38.5,-110,DEN Broncos: -122 / HOU Texans: +102,2025-10-25T00:13:14.181086
NO Saints @ LA Rams,NO Saints,LA Rams,12.5,-110,45.5,-110,NO Saints: +525 / LA Rams: -750,2025-10-25T00:13:14.181086
JAX Jaguars @ LV Raiders,JAX Jaguars,LV Raiders,-3,-108,44.5,-110,JAX Jaguars: -155 / LV Raiders: +130,2025-10-25T00:13:14.181086
KC Chiefs @ BUF Bills,KC Chiefs,BUF Bills,-1.5,-110,50.5,-110,KC Chiefs: -125 / BUF Bills: +105,2025-10-25T00:13:14.181086
SEA Seahawks @ WAS Commanders,SEA Seahawks,WAS Commanders,-3,-110,45.5,-110,SEA Seahawks: -162 / WAS Commanders: +136,2025-10-25T00:13:14.181086
ARI Cardinals @ DAL Cowboys,ARI Cardinals,DAL Cowboys,3.5,-118,52.5,-105,ARI Cardinals: +145 / DAL Cowboys: -175,2025-10-25T00:13:14.181086
BUF Bills @ CAR Panthers,BUF Bills,CAR Panthers,-7,-115,46.5,-110,BUF Bills: -395 / CAR Panthers: +310,2025-10-25T19:10:43.080539
NY Jets @ CIN Bengals,NY Jets,CIN Bengals,6,-108,44.5,-112,NY Jets: +230 / CIN Bengals: -285,2025-10-25T19:10:43.080539
CLE Browns @ NE Patriots,CLE Browns,NE Patriots,7,-115,40.5,-110,CLE Browns: +285 / NE Patriots: -360,2025-10-25T19:10:43.080539
MIA Dolphins @ ATL Falcons,MIA Dolphins,ATL Falcons,7,-105,44.5,-108,MIA Dolphins: +295 / ATL Falcons: -375,2025-10-25T19:10:43.080539
NY Giants @ PHI Eagles,NY Giants,PHI Eagles,7,-102,43.5,-118,NY Giants: +310 / PHI Eagles: -395,2025-10-25T19:10:43.080539
CHI Bears @ BAL Ravens,CHI Bears,BAL Ravens,1.5,-110,44.5,-110,CHI Bears: +105 / BAL Ravens: -125,2025-10-25T19:10:43.080539
SF 49ers @ HOU Texans,SF 49ers,HOU Texans,2.5,-115,42.5,-110,SF 49ers: +110 / HOU Texans: -130,2025-10-25T19:10:43.080539
TB Buccaneers @ NO Saints,TB Buccaneers,NO Saints,-4.5,-105,46.5,-110,TB Buccaneers: -218 / NO Saints: +180,2025-10-25T19:10:43.080539
TEN Titans @ IND Colts,TEN Titans,IND Colts,14.5,-108,47.5,-120,TEN Titans: +900 / IND Colts: -1600,2025-10-25T19:10:43.080539
DAL Cowboys @ DEN Broncos,DAL Cowboys,DEN Broncos,3.5,-115,50.5,-112,DAL Cowboys: +150 / DEN Broncos: -180,2025-10-25T19:10:43.080539
GB Packers @ PIT Steelers,GB Packers,PIT Steelers,-3,-105,45.5,-115,GB Packers: -162 / PIT Steelers: +136,2025-10-25T19:10:43.080539
WAS Commanders @ KC Chiefs,WAS Commanders,KC Chiefs,11.5,-112,47.5,-112,WAS Commanders: +525 / KC Chiefs: -750,2025-10-25T19:10:43.080539
MIN Vikings @ DET Lions,MIN Vikings,DET Lions,8.5,-115,47.5,-110,MIN Vikings: +360 / DET Lions: -470,2025-10-25T19:10:43.080539
IND Colts @ PIT Steelers,IND Colts,PIT Steelers,-2.5,-118,49.5,-105,IND Colts: -148 / PIT Steelers: +124,2025-10-25T19:10:43.080539
CAR Panthers @ GB Packers,CAR Panthers,GB Packers,10.5,-110,44.5,-110,CAR Panthers: +455 / GB Packers: -625,2025-10-25T19:10:43.080539
CHI Bears @ CIN Bengals,CHI Bears,CIN Bengals,-1.5,-102,48.5,-110,CHI Bears: -112 / CIN Bengals: -108,2025-10-25T19:10:43.080539
LA Chargers @ TEN Titans,LA Chargers,TEN Titans,-8.5,-110,43.5,-110,LA Chargers: -470 / TEN Titans: +360,2025-10-25T19:10:43.080539
ATL Falcons @ NE Patriots,ATL Falcons,NE Patriots,2.5,-102,45.5,-110,ATL Falcons: +124 / NE Patriots: -148,2025-10-25T19:10:43.080539
SF 49ers @ NY Giants,SF 49ers,NY Giants,-3,-105,45.5,-112,SF 49ers: -155 / NY Giants: +130,2025-10-25T19:10:43.080539
DEN Broncos @ HOU Texans,DEN Broncos,HOU Texans,-1.5,-108,38.5,-110,DEN Broncos: -122 / HOU Texans: +102,2025-10-25T19:10:43.080539
NO Saints @ LA Rams,NO Saints,LA Rams,12.5,-110,45.5,-110,NO Saints: +525 / LA Rams: -750,2025-10-25T19:10:43.080539
JAX Jaguars @ LV Raiders,JAX Jaguars,LV Raiders,-3,-108,44.5,-110,JAX Jaguars: -155 / LV Raiders: +130,2025-10-25T19:10:43.080539
KC Chiefs @ BUF Bills,KC Chiefs,BUF Bills,-1.5,-110,50.5,-110,KC Chiefs: -125 / BUF Bills: +105,2025-10-25T19:10:43.080539
SEA Seahawks @ WAS Commanders,SEA Seahawks,WAS Commanders,-3,-110,45.5,-110,SEA Seahawks: -155 / WAS Commanders: +130,2025-10-25T19:10:43.080539
ARI Cardinals @ DAL Cowboys,ARI Cardinals,DAL Cowboys,3.5,-118,52.5,-105,ARI Cardinals: +145 / DAL Cowboys: -175,2025-10-25T19:10:43.080539
BUF Bills @ CAR Panthers,BUF Bills,CAR Panthers,-7,-115,46.5,-110,BUF Bills: -395 / CAR Panthers: +310,2025-10-25T19:15:07.925068
NY Jets @ CIN Bengals,NY Jets,CIN Bengals,6,-108,44.5,-112,NY Jets: +230 / CIN Bengals: -285,2025-10-25T19:15:07.925068
CLE Browns @ NE Patriots,CLE Browns,NE Patriots,7,-115,40.5,-110,CLE Browns: +285 / NE Patriots: -360,2025-10-25T19:15:07.925068
MIA Dolphins @ ATL Falcons,MIA Dolphins,ATL Falcons,7,-105,44.5,-108,MIA Dolphins: +295 / ATL Falcons: -375,2025-10-25T19:15:07.925068
NY Giants @ PHI Eagles,NY Giants,PHI Eagles,7,-102,43.5,-118,NY Giants: +310 / PHI Eagles: -395,2025-10-25T19:15:07.925068
CHI Bears @ BAL Ravens,CHI Bears,BAL Ravens,1.5,-110,44.5,-110,CHI Bears: +105 / BAL Ravens: -125,2025-10-25T19:15:07.925068
SF 49ers @ HOU Texans,SF 49ers,HOU Texans,2.5,-115,42.5,-110,SF 49ers: +110 / HOU Texans: -130,2025-10-25T19:15:07.925068
TB Buccaneers @ NO Saints,TB Buccaneers,NO Saints,-4.5,-105,46.5,-110,TB Buccaneers: -218 / NO Saints: +180,2025-10-25T19:15:07.925068
TEN Titans @ IND Colts,TEN Titans,IND Colts,14.5,-108,47.5,-120,TEN Titans: +900 / IND Colts: -1600,2025-10-25T19:15:07.925068
DAL Cowboys @ DEN Broncos,DAL Cowboys,DEN Broncos,3.5,-115,50.5,-112,DAL Cowboys: +150 / DEN Broncos: -180,2025-10-25T19:15:07.925068
GB Packers @ PIT Steelers,GB Packers,PIT Steelers,-3,-105,45.5,-115,GB Packers: -162 / PIT Steelers: +136,2025-10-25T19:15:07.925068
WAS Commanders @ KC Chiefs,WAS Commanders,KC Chiefs,11.5,-112,47.5,-112,WAS Commanders: +525 / KC Chiefs: -750,2025-10-25T19:15:07.925068
MIN Vikings @ DET Lions,MIN Vikings,DET Lions,8.5,-115,47.5,-110,MIN Vikings: +360 / DET Lions: -470,2025-10-25T19:15:07.925068
IND Colts @ PIT Steelers,IND Colts,PIT Steelers,-2.5,-118,49.5,-105,IND Colts: -148 / PIT Steelers: +124,2025-10-25T19:15:07.925068
CAR Panthers @ GB Packers,CAR Panthers,GB Packers,10.5,-110,44.5,-110,CAR Panthers: +455 / GB Packers: -625,2025-10-25T19:15:07.925068
CHI Bears @ CIN Bengals,CHI Bears,CIN Bengals,-1.5,-102,48.5,-110,CHI Bears: -112 / CIN Bengals: -108,2025-10-25T19:15:07.925068
LA Chargers @ TEN Titans,LA Chargers,TEN Titans,-8.5,-110,43.5,-110,LA Chargers: -470 / TEN Titans: +360,2025-10-25T19:15:07.925068
ATL Falcons @ NE Patriots,ATL Falcons,NE Patriots,2.5,-102,45.5,-110,ATL Falcons: +124 / NE Patriots: -148,2025-10-25T19:15:07.925068
SF 49ers @ NY Giants,SF 49ers,NY Giants,-3,-105,45.5,-112,SF 49ers: -155 / NY Giants: +130,2025-10-25T19:15:07.925068
DEN Broncos @ HOU Texans,DEN Broncos,HOU Texans,-1.5,-108,38.5,-110,DEN Broncos: -122 / HOU Texans: +102,2025-10-25T19:15:07.925068
NO Saints @ LA Rams,NO Saints,LA Rams,12.5,-110,45.5,-110,NO Saints: +525 / LA Rams: -750,2025-10-25T19:15:07.925068
JAX Jaguars @ LV Raiders,JAX Jaguars,LV Raiders,-3,-108,44.5,-110,JAX Jaguars: -155 / LV Raiders: +130,2025-10-25T19:15:07.925068
KC Chiefs @ BUF Bills,KC Chiefs,BUF Bills,-1.5,-110,50.5,-110,KC Chiefs: -125 / BUF Bills: +105,2025-10-25T19:15:07.925068
SEA Seahawks @ WAS Commanders,SEA Seahawks,WAS Commanders,-3,-110,45.5,-110,SEA Seahawks: -155 / WAS Commanders: +130,2025-10-25T19:15:07.925068
ARI Cardinals @ DAL Cowboys,ARI Cardinals,DAL Cowboys,3.5,-118,52.5,-105,ARI Cardinals: +145 / DAL Cowboys: -175,2025-10-25T19:15:07.925068
