week,game,away_team,home_team,away_spread_line,away_spread_odds,home_spread_line,home_spread_odds,away_moneyline,home_moneyline,total_line,over_odds,under_odds,scrape_timestamp
10,Las Vegas Raiders @ Denver Broncos,Las Vegas Raiders,Denver Broncos,9.5,-115,-9.5,-105,385,-500,,-108,-112,2025-11-04T17:29:43.460936
10,Atlanta Falcons @ Indianapolis Colts,Atlanta Falcons,Indianapolis Colts,6.5,-115,-6.5,-105,220,-270,,-105,-115,2025-11-04T17:29:43.460936
10,Jacksonville Jaguars @ Houston Texans,Jacksonville Jaguars,Houston Texans,1.5,-118,-1.5,-104,-102,-116,,-110,-110,2025-11-04T17:29:43.460936
10,New York Giants @ Chicago Bears,New York Giants,Chicago Bears,3.5,-112,-3.5,-108,162,-194,,-105,-115,2025-11-04T17:29:43.460936
10,Baltimore Ravens @ Minnesota Vikings,Baltimore Ravens,Minnesota Vikings,-4.5,-105,4.5,-115,-215,180,,-120,-102,2025-11-04T17:29:43.460936
10,Cleveland Browns @ New York Jets,Cleveland Browns,New York Jets,-2.5,-108,2.5,-112,-134,114,,-115,-105,2025-11-04T17:29:43.460936
10,New Orleans Saints @ Carolina Panthers,New Orleans Saints,Carolina Panthers,5.5,-112,-5.5,-108,205,-250,,-112,-108,2025-11-04T17:29:43.460936
10,Buffalo Bills @ Miami Dolphins,Buffalo Bills,Miami Dolphins,-9.5,-110,9.5,-110,-510,390,,-120,-102,2025-11-04T17:29:43.460936
10,New England Patriots @ Tampa Bay Buccaneers,New England Patriots,Tampa Bay Buccaneers,2.5,-110,-2.5,-110,120,-142,,-104,-118,2025-11-04T17:29:43.460936
10,Arizona Cardinals @ Seattle Seahawks,Arizona Cardinals,Seattle Seahawks,6.5,-105,-6.5,-115,260,-320,,-115,-105,2025-11-04T17:29:43.460936
10,Los Angeles Rams @ San Francisco 49ers,Los Angeles Rams,San Francisco 49ers,-3.5,-110,3.5,-110,-190,160,,-105,-115,2025-11-04T17:29:43.460936
10,Detroit Lions @ Washington Commanders,Detroit Lions,Washington Commanders,-8.5,-112,8.5,-108,-480,370,,-108,-112,2025-11-04T17:29:43.460936
10,Pittsburgh Steelers @ Los Angeles Chargers,Pittsburgh Steelers,Los Angeles Chargers,3,-114,-3,-106,126,-148,,-105,-115,2025-11-04T17:29:43.460936
10,Philadelphia Eagles @ Green Bay Packers,Philadelphia Eagles,Green Bay Packers,2.5,-110,-2.5,-110,116,-136,,-108,-112,2025-11-04T17:29:43.460936
10,New York Jets @ New England Patriots,New York Jets,New England Patriots,10.5,-115,-10.5,-105,480,-650,,-115,-105,2025-11-04T17:29:43.460936
10,Washington Commanders @ Miami Dolphins,Washington Commanders,Miami Dolphins,-1.5,-104,1.5,-118,-112,-104,,-115,-105,2025-11-04T17:29:43.460936
10,Chicago Bears @ Minnesota Vikings,Chicago Bears,Minnesota Vikings,2.5,-108,-2.5,-112,120,-142,,-105,-115,2025-11-04T17:29:43.460936
10,Green Bay Packers @ New York Giants,Green Bay Packers,New York Giants,-7,-105,7,-115,-310,250,,-110,-110,2025-11-04T17:29:43.460936
10,Carolina Panthers @ Atlanta Falcons,Carolina Panthers,Atlanta Falcons,3.5,-115,-3.5,-105,146,-174,,-110,-110,2025-11-04T17:29:43.460936
10,Los Angeles Chargers @ Jacksonville Jaguars,Los Angeles Chargers,Jacksonville Jaguars,-2.5,-102,2.5,-120,-126,108,,-120,-102,2025-11-04T17:29:43.460936
10,Cincinnati Bengals @ Pittsburgh Steelers,Cincinnati Bengals,Pittsburgh Steelers,5.5,-102,-5.5,-120,220,-270,,-110,-110,2025-11-04T17:29:43.460936
10,Tampa Bay Buccaneers @ Buffalo Bills,Tampa Bay Buccaneers,Buffalo Bills,6.5,-120,-6.5,-102,215,-260,,-115,-105,2025-11-04T17:29:43.460936
10,Houston Texans @ Tennessee Titans,Houston Texans,Tennessee Titans,-8.5,-105,8.5,-115,-420,330,,-110,-110,2025-11-04T17:29:43.460936
10,Seattle Seahawks @ Los Angeles Rams,Seattle Seahawks,Los Angeles Rams,2.5,-105,-2.5,-115,122,-144,,-105,-115,2025-11-04T17:29:43.460936
10,San Francisco 49ers @ Arizona Cardinals,San Francisco 49ers,Arizona Cardinals,-1.5,-105,1.5,-115,-116,-102,,-105,-115,2025-11-04T17:29:43.460936
10,Kansas City Chiefs @ Denver Broncos,Kansas City Chiefs,Denver Broncos,-3,-120,3,-102,-166,138,,-105,-115,2025-11-04T17:29:43.460936
10,Baltimore Ravens @ Cleveland Browns,Baltimore Ravens,Cleveland Browns,-8.5,-105,8.5,-115,-430,340,,-115,-105,2025-11-04T17:29:43.460936
10,Detroit Lions @ Philadelphia Eagles,Detroit Lions,Philadelphia Eagles,1.5,-115,-1.5,-105,-102,-116,,-115,-105,2025-11-04T17:29:43.460936
10,Dallas Cowboys @ Las Vegas Raiders,Dallas Cowboys,Las Vegas Raiders,-3.5,-110,3.5,-110,-186,156,,-104,-118,2025-11-04T17:29:43.460936
10,Atlanta Falcons @ Indianapolis Colts,Atlanta Falcons,Indianapolis Colts,6.5,-114,-6.5,-106,240,-295,,-104,-118,2025-11-08T13:24:36.916913
10,Jacksonville Jaguars @ Houston Texans,Jacksonville Jaguars,Houston Texans,-1.5,-104,1.5,-118,-112,-104,,-105,-115,2025-11-08T13:24:36.916913
10,New York Giants @ Chicago Bears,New York Giants,Chicago Bears,4.5,-115,-4.5,-105,188,-225,,-102,-120,2025-11-08T13:24:36.916913
10,Baltimore Ravens @ Minnesota Vikings,Baltimore Ravens,Minnesota Vikings,-4.5,-106,4.5,-114,-230,190,,-115,-105,2025-11-08T13:24:36.916913
10,Cleveland Browns @ New York Jets,Cleveland Browns,New York Jets,-2.5,-105,2.5,-115,-126,108,,-115,-105,2025-11-08T13:24:36.916913
10,New Orleans Saints @ Carolina Panthers,New Orleans Saints,Carolina Panthers,5.5,-115,-5.5,-105,205,-250,,-110,-110,2025-11-08T13:24:36.916913
10,Buffalo Bills @ Miami Dolphins,Buffalo Bills,Miami Dolphins,-9.5,-105,9.5,-115,-560,420,,-120,-102,2025-11-08T13:24:36.916913
10,New England Patriots @ Tampa Bay Buccaneers,New England Patriots,Tampa Bay Buccaneers,2.5,-110,-2.5,-110,120,-142,,-104,-118,2025-11-08T13:24:36.916913
10,Arizona Cardinals @ Seattle Seahawks,Arizona Cardinals,Seattle Seahawks,6.5,-105,-6.5,-115,265,-330,,-114,-106,2025-11-08T13:24:36.916913
10,Los Angeles Rams @ San Francisco 49ers,Los Angeles Rams,San Francisco 49ers,-4.5,-115,4.5,-105,-245,198,,-110,-110,2025-11-08T13:24:36.916913
10,Detroit Lions @ Washington Commanders,Detroit Lions,Washington Commanders,-7.5,-115,7.5,-105,-460,360,,-118,-104,2025-11-08T13:24:36.916913
