week,game,player_name,prop_type,line,over_odds,under_odds,sportsbook,scrape_timestamp
10,LV Raiders @ DEN Broncos,Bo Nix,Rush Attempts,5.5,+127,−163,DraftKings,2025-11-04T17:29:28.500818
10,LV Raiders @ DEN Broncos,Geno Smith,Rush Attempts,3.5,+122,−156,DraftKings,2025-11-04T17:29:28.500818
10,ATL Falcons @ IND Colts,Jonathan Taylor,Rush Attempts,18.5,−124,−103,DraftKings,2025-11-04T17:29:28.500818
10,LV Raiders @ DEN Broncos,Bo Nix Passing,Completions,20.5,−128,+100,DraftKings,2025-11-04T17:29:28.500818
10,LV Raiders @ DEN Broncos,Geno Smith Passing,Completions,19.5,−128,+100,DraftKings,2025-11-04T17:29:28.500818
10,ATL Falcons @ IND Colts,Daniel Jones Passing,Completions,21.5,−111,−115,DraftKings,2025-11-04T17:29:28.500818
10,ATL Falcons @ IND Colts,Michael Penix Jr. Passing,Completions,19.5,−114,−111,DraftKings,2025-11-04T17:29:28.500818
10,LV Raiders @ DEN Broncos,Bo Nix,Pass Yards,218.5,−111,−113,DraftKings,2025-11-04T17:29:28.500818
10,LV Raiders @ DEN Broncos,Geno Smith,Pass Yards,212.5,−113,−111,DraftKings,2025-11-04T17:29:28.500818
10,ATL Falcons @ IND Colts,Daniel Jones,Pass Yards,243.5,−112,−112,DraftKings,2025-11-04T17:29:28.500818
10,ATL Falcons @ IND Colts,Michael Penix Jr.,Pass Yards,230.5,−112,−112,DraftKings,2025-11-04T17:29:28.500818
10,LV Raiders @ DEN Broncos,Bo Nix,Pass TDs,1.5,−129,+101,DraftKings,2025-11-04T17:29:28.500818
10,LV Raiders @ DEN Broncos,Geno Smith,Pass TDs,0.5,−264,+202,DraftKings,2025-11-04T17:29:28.500818
10,ATL Falcons @ IND Colts,Daniel Jones,Pass TDs,1.5,−120,−106,DraftKings,2025-11-04T17:29:28.500818
10,ATL Falcons @ IND Colts,Michael Penix Jr.,Pass TDs,1.5,+126,−162,DraftKings,2025-11-04T17:29:28.500818
10,LV Raiders @ DEN Broncos,Bo Nix,Pass + Rush Yards,244.5,−112,−114,DraftKings,2025-11-04T17:29:28.500818
10,LV Raiders @ DEN Broncos,Geno Smith,Pass + Rush Yards,225.5,−112,−114,DraftKings,2025-11-04T17:29:28.500818
10,ATL Falcons @ IND Colts,Jonathan Taylor,Longest Rush,19.5,−110,−120,DraftKings,2025-11-04T17:29:28.500818
10,LV Raiders @ DEN Broncos,J.K. Dobbins,Longest Rush,16.5,−110,−120,DraftKings,2025-11-04T17:29:28.500818
10,BUF Bills @ MIA Dolphins,De'Von Achane,Longest Rush,15.5,−120,−110,DraftKings,2025-11-04T17:29:28.500818
10,ATL Falcons @ IND Colts,Bijan Robinson,Longest Rush,14.5,−115,−115,DraftKings,2025-11-04T17:29:28.500818
10,BAL Ravens @ MIN Vikings,Lamar Jackson,Longest Rush,14.5,−115,−115,DraftKings,2025-11-04T17:29:28.500818
