game,away_team,home_team,spread,spread_odds,total_line,total_odds,moneyline,scrape_timestamp
WAS Commanders @ MIA Dolphins,WAS Commanders,MIA Dolphins,-1.5,-110,45.5,-110,WAS Commanders: -125 / MIA Dolphins: +105,2025-11-04T17:29:28.500818
HOU Texans @ TEN Titans,HOU Texans,TEN Titans,-8.5,-110,38.5,-110,HOU Texans: -425 / TEN Titans: +330,2025-11-04T17:29:28.500818
CIN Bengals @ PIT Steelers,CIN Bengals,PIT Steelers,6.5,-110,50.5,-110,CIN Bengals: +230 / PIT Steelers: -285,2025-11-04T17:29:28.500818
CHI Bears @ MIN Vikings,CHI Bears,MIN Vikings,2.5,+100,47.5,-110,CHI Bears: +130 / MIN Vikings: -155,2025-11-04T17:29:28.500818
GB Packers @ NY Giants,GB Packers,NY Giants,-7,-110,46.5,-110,GB Packers: -310 / NY Giants: +250,2025-11-04T17:29:28.500818
LA Chargers @ JAX Jaguars,LA Chargers,JAX Jaguars,-1.5,-110,45.5,-110,LA Chargers: -125 / JAX Jaguars: +105,2025-11-04T17:29:28.500818
CAR Panthers @ ATL Falcons,CAR Panthers,ATL Falcons,3.5,-115,44.5,-110,CAR Panthers: +145 / ATL Falcons: -175,2025-11-04T17:29:28.500818
TB Buccaneers @ BUF Bills,TB Buccaneers,BUF Bills,6,-110,50.5,-115,TB Buccaneers: +215 / BUF Bills: -265,2025-11-04T17:29:28.500818
SEA Seahawks @ LA Rams,SEA Seahawks,LA Rams,2.5,+100,47.5,-110,SEA Seahawks: +130 / LA Rams: -155,2025-11-04T17:29:28.500818
SF 49ers @ ARI Cardinals,SF 49ers,ARI Cardinals,-1.5,-110,47.5,-110,SF 49ers: -125 / ARI Cardinals: +105,2025-11-04T17:29:28.500818
BAL Ravens @ CLE Browns,BAL Ravens,CLE Browns,-7.5,-110,41.5,-110,BAL Ravens: -345 / CLE Browns: +275,2025-11-04T17:29:28.500818
KC Chiefs @ DEN Broncos,KC Chiefs,DEN Broncos,-2.5,-120,44.5,-115,KC Chiefs: -155 / DEN Broncos: +130,2025-11-04T17:29:28.500818
DET Lions @ PHI Eagles,DET Lions,PHI Eagles,1.5,-110,49.5,-110,DET Lions: +105 / PHI Eagles: -125,2025-11-04T17:29:28.500818
DAL Cowboys @ LV Raiders,DAL Cowboys,LV Raiders,-3.5,-110,50.5,-110,DAL Cowboys: -185 / LV Raiders: +154,2025-11-04T17:29:28.500818
ATL Falcons @ IND Colts,ATL Falcons,IND Colts,6.5,-112,48.5,-108,ATL Falcons: +250 / IND Colts: -310,2025-11-08T13:24:47.212581
BUF Bills @ MIA Dolphins,BUF Bills,MIA Dolphins,-9.5,-112,50.5,-105,BUF Bills: -520 / MIA Dolphins: +390,2025-11-08T13:24:47.212581
CLE Browns @ NY Jets,CLE Browns,NY Jets,-1.5,-115,37.5,-110,CLE Browns: -130 / NY Jets: +110,2025-11-08T13:24:47.212581
BAL Ravens @ MIN Vikings,BAL Ravens,MIN Vikings,-3.5,-115,48.5,-115,BAL Ravens: -218 / MIN Vikings: +180,2025-11-08T13:24:47.212581
NE Patriots @ TB Buccaneers,NE Patriots,TB Buccaneers,2.5,-110,48.5,-115,NE Patriots: +124 / TB Buccaneers: -148,2025-11-08T13:24:47.212581
NO Saints @ CAR Panthers,NO Saints,CAR Panthers,5.5,-112,38.5,-108,NO Saints: +200 / CAR Panthers: -245,2025-11-08T13:24:47.212581
NY Giants @ CHI Bears,NY Giants,CHI Bears,4.5,-110,46.5,-118,NY Giants: +180 / CHI Bears: -218,2025-11-08T13:24:47.212581
JAX Jaguars @ HOU Texans,JAX Jaguars,HOU Texans,-1.5,+100,37.5,-108,JAX Jaguars: -115 / HOU Texans: -105,2025-11-08T13:24:47.212581
ARI Cardinals @ SEA Seahawks,ARI Cardinals,SEA Seahawks,6.5,+100,45.5,-115,ARI Cardinals: +250 / SEA Seahawks: -310,2025-11-08T13:24:47.212581
DET Lions @ WAS Commanders,DET Lions,WAS Commanders,-8.5,-112,49.5,-108,DET Lions: -470 / WAS Commanders: +360,2025-11-08T13:24:47.212581
LA Rams @ SF 49ers,LA Rams,SF 49ers,-6,-108,49.5,-110,LA Rams: -258 / SF 49ers: +210,2025-11-08T13:24:47.212581
PIT Steelers @ LA Chargers,PIT Steelers,LA Chargers,3,-115,45.5,-105,PIT Steelers: +136 / LA Chargers: -162,2025-11-08T13:24:47.212581
PHI Eagles @ GB Packers,PHI Eagles,GB Packers,1.5,-112,45.5,-112,PHI Eagles: +102 / GB Packers: -122,2025-11-08T13:24:47.212581
NY Jets @ NE Patriots,NY Jets,NE Patriots,10.5,-105,46.5,-110,NY Jets: +425 / NE Patriots: -575,2025-11-08T13:24:47.212581
WAS Commanders @ MIA Dolphins,WAS Commanders,MIA Dolphins,-1.5,-110,46.5,-115,WAS Commanders: -125 / MIA Dolphins: +105,2025-11-08T13:24:47.212581
CIN Bengals @ PIT Steelers,CIN Bengals,PIT Steelers,5.5,-108,49.5,-118,CIN Bengals: +200 / PIT Steelers: -245,2025-11-08T13:24:47.212581
LA Chargers @ JAX Jaguars,LA Chargers,JAX Jaguars,-1.5,-110,45.5,-110,LA Chargers: -125 / JAX Jaguars: +105,2025-11-08T13:24:47.212581
HOU Texans @ TEN Titans,HOU Texans,TEN Titans,-7.5,-105,38.5,-105,HOU Texans: -340 / TEN Titans: +270,2025-11-08T13:24:47.212581
GB Packers @ NY Giants,GB Packers,NY Giants,-7,-110,46.5,-110,GB Packers: -325 / NY Giants: +260,2025-11-08T13:24:47.212581
TB Buccaneers @ BUF Bills,TB Buccaneers,BUF Bills,6,-110,50.5,-115,TB Buccaneers: +215 / BUF Bills: -265,2025-11-08T13:24:47.212581
CAR Panthers @ ATL Falcons,CAR Panthers,ATL Falcons,3.5,-115,44.5,-110,CAR Panthers: +150 / ATL Falcons: -180,2025-11-08T13:24:47.212581
CHI Bears @ MIN Vikings,CHI Bears,MIN Vikings,3,-115,46.5,-115,CHI Bears: +136 / MIN Vikings: -162,2025-11-08T13:24:47.212581
SEA Seahawks @ LA Rams,SEA Seahawks,LA Rams,2.5,-110,47.5,-102,SEA Seahawks: +120 / LA Rams: -142,2025-11-08T13:24:47.212581
SF 49ers @ ARI Cardinals,SF 49ers,ARI Cardinals,-1.5,-110,47.5,-110,SF 49ers: -125 / ARI Cardinals: +105,2025-11-08T13:24:47.212581
BAL Ravens @ CLE Browns,BAL Ravens,CLE Browns,-7.5,-115,41.5,-110,BAL Ravens: -380 / CLE Browns: +300,2025-11-08T13:24:47.212581
KC Chiefs @ DEN Broncos,KC Chiefs,DEN Broncos,-3,-120,43.5,-110,KC Chiefs: -170 / DEN Broncos: +142,2025-11-08T13:24:47.212581
DET Lions @ PHI Eagles,DET Lions,PHI Eagles,1.5,-110,49.5,-110,DET Lions: +105 / PHI Eagles: -125,2025-11-08T13:24:47.212581
DAL Cowboys @ LV Raiders,DAL Cowboys,LV Raiders,-3,-115,49.5,-110,DAL Cowboys: -170 / LV Raiders: +142,2025-11-08T13:24:47.212581
