game,away_team,home_team,spread,spread_odds,total_line,total_odds,moneyline,scrape_timestamp
LV Raiders @ DEN Broncos,LV Raiders,DEN Broncos,9.5,-110,42.5,-118,LV Raiders: +380 / DEN Broncos: -500,2025-11-04T17:29:28.500818
ATL Falcons @ IND Colts,ATL Falcons,IND Colts,6.5,-112,48.5,-108,ATL Falcons: +245 / IND Colts: -305,2025-11-04T17:29:28.500818
BUF Bills @ MIA Dolphins,BUF Bills,MIA Dolphins,-9.5,-110,49.5,-115,BUF Bills: -455 / MIA Dolphins: +350,2025-11-04T17:29:28.500818
CLE Browns @ NY Jets,CLE Browns,NY Jets,-2.5,-110,37.5,-112,CLE Browns: -142 / NY Jets: +120,2025-11-04T17:29:28.500818
NE Patriots @ TB Buccaneers,NE Patriots,TB Buccaneers,2.5,-105,48.5,-110,NE Patriots: +120 / TB Buccaneers: -142,2025-11-04T17:29:28.500818
BAL Ravens @ MIN Vikings,BAL Ravens,MIN Vikings,-3.5,-115,48.5,-112,BAL Ravens: -225 / MIN Vikings: +185,2025-11-04T17:29:28.500818
NO Saints @ CAR Panthers,NO Saints,CAR Panthers,5.5,-112,39.5,-120,NO Saints: +200 / CAR Panthers: -245,2025-11-04T17:29:28.500818
NY Giants @ CHI Bears,NY Giants,CHI Bears,3.5,-110,47.5,-115,NY Giants: +160 / CHI Bears: -192,2025-11-04T17:29:28.500818
JAX Jaguars @ HOU Texans,JAX Jaguars,HOU Texans,1.5,-112,37.5,-112,JAX Jaguars: +105 / HOU Texans: -125,2025-11-04T17:29:28.500818
ARI Cardinals @ SEA Seahawks,ARI Cardinals,SEA Seahawks,6.5,-105,45.5,-110,ARI Cardinals: +245 / SEA Seahawks: -305,2025-11-04T17:29:28.500818
DET Lions @ WAS Commanders,DET Lions,WAS Commanders,-8.5,-110,49.5,-110,DET Lions: -520 / WAS Commanders: +390,2025-11-04T17:29:28.500818
LA Rams @ SF 49ers,LA Rams,SF 49ers,-3.5,-110,49.5,-110,LA Rams: -198 / SF 49ers: +164,2025-11-04T17:29:28.500818
PIT Steelers @ LA Chargers,PIT Steelers,LA Chargers,3,-112,45.5,-105,PIT Steelers: +130 / LA Chargers: -155,2025-11-04T17:29:28.500818
PHI Eagles @ GB Packers,PHI Eagles,GB Packers,2.5,-110,44.5,-115,PHI Eagles: +114 / GB Packers: -135,2025-11-04T17:29:28.500818
NY Jets @ NE Patriots,NY Jets,NE Patriots,10.5,-110,46.5,-110,NY Jets: +400 / NE Patriots: -535,2025-11-04T17:29:28.500818
