week,game,away_team,home_team,away_spread_line,away_spread_odds,home_spread_line,home_spread_odds,away_moneyline,home_moneyline,total_line,over_odds,under_odds,scrape_timestamp
9,Jacksonville Jaguars @ Las Vegas Raiders,Jacksonville Jaguars,Las Vegas Raiders,-2.5,-115,2.5,-105,-152,128,,-115,-105,2025-11-01T18:14:05.346755
9,Kansas City Chiefs @ Buffalo Bills,Kansas City Chiefs,Buffalo Bills,-1.5,-114,1.5,-106,-132,112,,-108,-112,2025-11-01T18:14:05.346755
9,Seattle Seahawks @ Washington Commanders,Seattle Seahawks,Washington Commanders,-3,-105,3,-115,-162,136,,-105,-115,2025-11-01T18:14:05.346755
9,Arizona Cardinals @ Dallas Cowboys,Arizona Cardinals,Dallas Cowboys,3,-102,-3,-120,144,-172,,-105,-115,2025-11-01T18:14:05.346755
9,Las Vegas Raiders @ Denver Broncos,Las Vegas Raiders,Denver Broncos,9.5,-108,-9.5,-112,430,-590,,-120,-102,2025-11-01T18:14:05.346755
9,Atlanta Falcons @ Indianapolis Colts,Atlanta Falcons,Indianapolis Colts,6.5,-108,-6.5,-112,265,-330,,-108,-112,2025-11-01T18:14:05.346755
9,Jacksonville Jaguars @ Houston Texans,Jacksonville Jaguars,Houston Texans,2.5,-105,-2.5,-115,120,-142,,-115,-105,2025-11-01T18:14:05.346755
9,New York Giants @ Chicago Bears,New York Giants,Chicago Bears,3,-104,-3,-118,142,-172,,-105,-115,2025-11-01T18:14:05.346755
9,Baltimore Ravens @ Minnesota Vikings,Baltimore Ravens,Minnesota Vikings,-4.5,-115,4.5,-105,-230,190,,-105,-115,2025-11-01T18:14:05.346755
9,Cleveland Browns @ New York Jets,Cleveland Browns,New York Jets,1.5,-105,-1.5,-115,112,-132,,-110,-110,2025-11-01T18:14:05.346755
9,New Orleans Saints @ Carolina Panthers,New Orleans Saints,Carolina Panthers,3.5,-115,-3.5,-105,150,-178,,-115,-105,2025-11-01T18:14:05.346755
9,Buffalo Bills @ Miami Dolphins,Buffalo Bills,Miami Dolphins,-8.5,-105,8.5,-115,-450,350,,-110,-110,2025-11-01T18:14:05.346755
9,New England Patriots @ Tampa Bay Buccaneers,New England Patriots,Tampa Bay Buccaneers,1.5,-108,-1.5,-112,108,-126,,-110,-110,2025-11-01T18:14:05.346755
9,Arizona Cardinals @ Seattle Seahawks,Arizona Cardinals,Seattle Seahawks,6.5,-120,-6.5,-102,215,-260,,-105,-115,2025-11-01T18:14:05.346755
9,Los Angeles Rams @ San Francisco 49ers,Los Angeles Rams,San Francisco 49ers,-3,-110,3,-110,-158,134,,-110,-110,2025-11-01T18:14:05.346755
9,Detroit Lions @ Washington Commanders,Detroit Lions,Washington Commanders,-3.5,-110,3.5,-110,-190,158,,-110,-110,2025-11-01T18:14:05.346755
9,Pittsburgh Steelers @ Los Angeles Chargers,Pittsburgh Steelers,Los Angeles Chargers,4.5,-112,-4.5,-108,176,-210,,-106,-114,2025-11-01T18:14:05.346755
9,Philadelphia Eagles @ Green Bay Packers,Philadelphia Eagles,Green Bay Packers,3,-110,-3,-110,136,-162,,-115,-105,2025-11-01T18:14:05.346755
