game,away_team,home_team,spread,spread_odds,total_line,total_odds,moneyline,scrape_timestamp
BUF Bills @ CAR Panthers,BUF Bills,CAR Panthers,-7,-115,48.5,-110,BUF Bills: -360 / CAR Panthers: +285,2025-10-18T18:10:19.440481
NY Jets @ CIN Bengals,NY Jets,CIN Bengals,4.5,-112,44.5,-110,NY Jets: +164 / CIN Bengals: -198,2025-10-18T18:10:19.440481
CHI Bears @ BAL Ravens,CHI Bears,BAL Ravens,6.5,-110,49.5,-112,CHI Bears: +245 / BAL Ravens: -305,2025-10-18T18:10:19.440481
CLE Browns @ NE Patriots,CLE Browns,NE Patriots,7,-110,40.5,-105,CLE Browns: +270 / NE Patriots: -340,2025-10-18T18:10:19.440481
NY Giants @ PHI Eagles,NY Giants,PHI Eagles,7.5,-110,41.5,-112,NY Giants: +310 / PHI Eagles: -395,2025-10-18T18:10:19.440481
MIA Dolphins @ ATL Falcons,MIA Dolphins,ATL Falcons,6,-108,45.5,-112,MIA Dolphins: +220 / ATL Falcons: -270,2025-10-18T18:10:19.440481
SF 49ers @ HOU Texans,SF 49ers,HOU Texans,1.5,-105,43.5,-110,SF 49ers: +105 / HOU Texans: -125,2025-10-18T18:10:19.440481
TB Buccaneers @ NO Saints,TB Buccaneers,NO Saints,-5.5,-115,47.5,-115,TB Buccaneers: -250 / NO Saints: +205,2025-10-18T18:10:19.440481
TEN Titans @ IND Colts,TEN Titans,IND Colts,11.5,-105,45.5,-105,TEN Titans: +575 / IND Colts: -850,2025-10-18T18:10:19.440481
DAL Cowboys @ DEN Broncos,DAL Cowboys,DEN Broncos,4.5,-108,47.5,-115,DAL Cowboys: +185 / DEN Broncos: -225,2025-10-18T18:10:19.440481
GB Packers @ PIT Steelers,GB Packers,PIT Steelers,-3.5,-110,45.5,-105,GB Packers: -185 / PIT Steelers: +154,2025-10-18T18:10:19.440481
WAS Commanders @ KC Chiefs,WAS Commanders,KC Chiefs,4.5,-105,50.5,-110,WAS Commanders: +205 / KC Chiefs: -250,2025-10-18T18:10:19.440481
LA Rams @ JAX Jaguars,LA Rams,JAX Jaguars,-3,-115,44.5,-115,LA Rams: -166 / JAX Jaguars: +140,2025-10-18T19:23:05.293577
NE Patriots @ TEN Titans,NE Patriots,TEN Titans,-7,-110,42.5,-105,NE Patriots: -355 / TEN Titans: +280,2025-10-18T19:23:05.293577
MIA Dolphins @ CLE Browns,MIA Dolphins,CLE Browns,2.5,-105,35.5,-110,MIA Dolphins: +120 / CLE Browns: -142,2025-10-18T19:23:05.293577
LV Raiders @ KC Chiefs,LV Raiders,KC Chiefs,11.5,-108,45.5,-110,LV Raiders: +550 / KC Chiefs: -800,2025-10-18T19:23:05.293577
PHI Eagles @ MIN Vikings,PHI Eagles,MIN Vikings,-1.5,-112,43.5,-115,PHI Eagles: -130 / MIN Vikings: +110,2025-10-18T19:23:05.293577
NO Saints @ CHI Bears,NO Saints,CHI Bears,3.5,+100,45.5,-105,NO Saints: +185 / CHI Bears: -225,2025-10-18T19:23:05.293577
CAR Panthers @ NY Jets,CAR Panthers,NY Jets,-1.5,-102,41.5,-102,CAR Panthers: -118 / NY Jets: -102,2025-10-18T19:23:05.293577
NY Giants @ DEN Broncos,NY Giants,DEN Broncos,7,+100,40.5,-115,NY Giants: +295 / DEN Broncos: -375,2025-10-18T19:23:05.293577
IND Colts @ LA Chargers,IND Colts,LA Chargers,2.5,-115,48.5,-110,IND Colts: +105 / LA Chargers: -125,2025-10-18T19:23:05.293577
GB Packers @ ARI Cardinals,GB Packers,ARI Cardinals,-7,-112,44.5,-108,GB Packers: -380 / ARI Cardinals: +300,2025-10-18T19:23:05.293577
WAS Commanders @ DAL Cowboys,WAS Commanders,DAL Cowboys,1.5,-112,53.5,-118,WAS Commanders: +105 / DAL Cowboys: -125,2025-10-18T19:23:05.293577
ATL Falcons @ SF 49ers,ATL Falcons,SF 49ers,1.5,-105,47.5,+100,ATL Falcons: +114 / SF 49ers: -135,2025-10-18T19:23:05.293577
TB Buccaneers @ DET Lions,TB Buccaneers,DET Lions,6,-112,52.5,-115,TB Buccaneers: +230 / DET Lions: -285,2025-10-18T19:23:05.293577
HOU Texans @ SEA Seahawks,HOU Texans,SEA Seahawks,3,-110,41.5,-105,HOU Texans: +140 / SEA Seahawks: -166,2025-10-18T19:23:05.293577
MIN Vikings @ LA Chargers,MIN Vikings,LA Chargers,3,-110,42.5,-110,MIN Vikings: +136 / LA Chargers: -162,2025-10-18T19:23:05.293577
BUF Bills @ CAR Panthers,BUF Bills,CAR Panthers,-7,-115,48.5,-110,BUF Bills: -360 / CAR Panthers: +285,2025-10-18T19:23:05.293577
NY Jets @ CIN Bengals,NY Jets,CIN Bengals,4.5,-112,44.5,-110,NY Jets: +164 / CIN Bengals: -198,2025-10-18T19:23:05.293577
CHI Bears @ BAL Ravens,CHI Bears,BAL Ravens,6.5,-110,49.5,-112,CHI Bears: +245 / BAL Ravens: -305,2025-10-18T19:23:05.293577
CLE Browns @ NE Patriots,CLE Browns,NE Patriots,7,-110,40.5,-105,CLE Browns: +270 / NE Patriots: -340,2025-10-18T19:23:05.293577
NY Giants @ PHI Eagles,NY Giants,PHI Eagles,7.5,-110,41.5,-112,NY Giants: +295 / PHI Eagles: -375,2025-10-18T19:23:05.293577
MIA Dolphins @ ATL Falcons,MIA Dolphins,ATL Falcons,6,-108,45.5,-112,MIA Dolphins: +220 / ATL Falcons: -270,2025-10-18T19:23:05.293577
SF 49ers @ HOU Texans,SF 49ers,HOU Texans,1.5,-105,43.5,-110,SF 49ers: +105 / HOU Texans: -125,2025-10-18T19:23:05.293577
TB Buccaneers @ NO Saints,TB Buccaneers,NO Saints,-5.5,-115,47.5,-115,TB Buccaneers: -250 / NO Saints: +205,2025-10-18T19:23:05.293577
TEN Titans @ IND Colts,TEN Titans,IND Colts,11.5,-105,45.5,-105,TEN Titans: +575 / IND Colts: -850,2025-10-18T19:23:05.293577
DAL Cowboys @ DEN Broncos,DAL Cowboys,DEN Broncos,4.5,-108,47.5,-115,DAL Cowboys: +185 / DEN Broncos: -225,2025-10-18T19:23:05.293577
GB Packers @ PIT Steelers,GB Packers,PIT Steelers,-3.5,-110,45.5,-105,GB Packers: -185 / PIT Steelers: +154,2025-10-18T19:23:05.293577
WAS Commanders @ KC Chiefs,WAS Commanders,KC Chiefs,4.5,-105,50.5,-110,WAS Commanders: +205 / KC Chiefs: -250,2025-10-18T19:23:05.293577
LA Rams @ JAX Jaguars,LA Rams,JAX Jaguars,-3,-115,44.5,-115,LA Rams: -166 / JAX Jaguars: +140,2025-10-18T22:06:09.287497
NE Patriots @ TEN Titans,NE Patriots,TEN Titans,-7,-110,42.5,-105,NE Patriots: -355 / TEN Titans: +280,2025-10-18T22:06:09.287497
MIA Dolphins @ CLE Browns,MIA Dolphins,CLE Browns,2.5,-105,35.5,-110,MIA Dolphins: +124 / CLE Browns: -148,2025-10-18T22:06:09.287497
LV Raiders @ KC Chiefs,LV Raiders,KC Chiefs,11.5,-108,45.5,-110,LV Raiders: +550 / KC Chiefs: -800,2025-10-18T22:06:09.287497
PHI Eagles @ MIN Vikings,PHI Eagles,MIN Vikings,-1.5,-112,43.5,-115,PHI Eagles: -130 / MIN Vikings: +110,2025-10-18T22:06:09.287497
NO Saints @ CHI Bears,NO Saints,CHI Bears,3.5,+100,45.5,-105,NO Saints: +185 / CHI Bears: -225,2025-10-18T22:06:09.287497
CAR Panthers @ NY Jets,CAR Panthers,NY Jets,-1.5,-102,40.5,-118,CAR Panthers: -118 / NY Jets: -102,2025-10-18T22:06:09.287497
NY Giants @ DEN Broncos,NY Giants,DEN Broncos,7,+100,39.5,-115,NY Giants: +295 / DEN Broncos: -375,2025-10-18T22:06:09.287497
IND Colts @ LA Chargers,IND Colts,LA Chargers,2.5,-115,48.5,-110,IND Colts: +105 / LA Chargers: -125,2025-10-18T22:06:09.287497
GB Packers @ ARI Cardinals,GB Packers,ARI Cardinals,-7,-112,44.5,-108,GB Packers: -380 / ARI Cardinals: +300,2025-10-18T22:06:09.287497
WAS Commanders @ DAL Cowboys,WAS Commanders,DAL Cowboys,1.5,-112,53.5,-118,WAS Commanders: +105 / DAL Cowboys: -125,2025-10-18T22:06:09.287497
ATL Falcons @ SF 49ers,ATL Falcons,SF 49ers,1.5,-105,47.5,+100,ATL Falcons: +114 / SF 49ers: -135,2025-10-18T22:06:09.287497
TB Buccaneers @ DET Lions,TB Buccaneers,DET Lions,6,-112,52.5,-115,TB Buccaneers: +230 / DET Lions: -285,2025-10-18T22:06:09.287497
HOU Texans @ SEA Seahawks,HOU Texans,SEA Seahawks,3,-110,41.5,-105,HOU Texans: +140 / SEA Seahawks: -166,2025-10-18T22:06:09.287497
MIN Vikings @ LA Chargers,MIN Vikings,LA Chargers,3,-110,42.5,-110,MIN Vikings: +136 / LA Chargers: -162,2025-10-18T22:06:09.287497
BUF Bills @ CAR Panthers,BUF Bills,CAR Panthers,-7,-115,48.5,-110,BUF Bills: -360 / CAR Panthers: +285,2025-10-18T22:06:09.287497
NY Jets @ CIN Bengals,NY Jets,CIN Bengals,4.5,-112,44.5,-110,NY Jets: +164 / CIN Bengals: -198,2025-10-18T22:06:09.287497
CHI Bears @ BAL Ravens,CHI Bears,BAL Ravens,6.5,-110,49.5,-112,CHI Bears: +245 / BAL Ravens: -305,2025-10-18T22:06:09.287497
CLE Browns @ NE Patriots,CLE Browns,NE Patriots,7,-110,40.5,-105,CLE Browns: +270 / NE Patriots: -340,2025-10-18T22:06:09.287497
NY Giants @ PHI Eagles,NY Giants,PHI Eagles,7.5,-110,41.5,-112,NY Giants: +295 / PHI Eagles: -375,2025-10-18T22:06:09.287497
MIA Dolphins @ ATL Falcons,MIA Dolphins,ATL Falcons,6,-108,45.5,-112,MIA Dolphins: +220 / ATL Falcons: -270,2025-10-18T22:06:09.287497
SF 49ers @ HOU Texans,SF 49ers,HOU Texans,1.5,-105,43.5,-110,SF 49ers: +105 / HOU Texans: -125,2025-10-18T22:06:09.287497
TB Buccaneers @ NO Saints,TB Buccaneers,NO Saints,-5.5,-115,47.5,-115,TB Buccaneers: -250 / NO Saints: +205,2025-10-18T22:06:09.287497
TEN Titans @ IND Colts,TEN Titans,IND Colts,12.5,-115,45.5,-105,TEN Titans: +575 / IND Colts: -850,2025-10-18T22:06:09.287497
DAL Cowboys @ DEN Broncos,DAL Cowboys,DEN Broncos,4.5,-108,47.5,-115,DAL Cowboys: +185 / DEN Broncos: -225,2025-10-18T22:06:09.287497
GB Packers @ PIT Steelers,GB Packers,PIT Steelers,-3.5,-110,45.5,-105,GB Packers: -185 / PIT Steelers: +154,2025-10-18T22:06:09.287497
WAS Commanders @ KC Chiefs,WAS Commanders,KC Chiefs,4.5,-105,50.5,-110,WAS Commanders: +205 / KC Chiefs: -250,2025-10-18T22:06:09.287497
NE Patriots @ TEN Titans,NE Patriots,TEN Titans,-6.5,-108,40.5,-112,NE Patriots: -305 / TEN Titans: +245,2025-10-19T12:53:04.175144
MIA Dolphins @ CLE Browns,MIA Dolphins,CLE Browns,2.5,-102,34.5,-108,MIA Dolphins: +124 / CLE Browns: -148,2025-10-19T12:53:04.175144
LV Raiders @ KC Chiefs,LV Raiders,KC Chiefs,12.5,+100,44.5,+100,LV Raiders: +600 / KC Chiefs: -900,2025-10-19T12:53:04.175144
PHI Eagles @ MIN Vikings,PHI Eagles,MIN Vikings,-2.5,-110,43.5,-115,PHI Eagles: -148 / MIN Vikings: +124,2025-10-19T12:53:04.175144
NO Saints @ CHI Bears,NO Saints,CHI Bears,3.5,-105,43.5,-110,NO Saints: +170 / CHI Bears: -205,2025-10-19T12:53:04.175144
CAR Panthers @ NY Jets,CAR Panthers,NY Jets,1.5,-125,39.5,-118,CAR Panthers: -108 / NY Jets: -112,2025-10-19T12:53:04.175144
NY Giants @ DEN Broncos,NY Giants,DEN Broncos,7.5,-112,39.5,-115,NY Giants: +340 / DEN Broncos: -440,2025-10-19T12:53:04.175144
IND Colts @ LA Chargers,IND Colts,LA Chargers,2.5,-115,48.5,-110,IND Colts: +110 / LA Chargers: -130,2025-10-19T12:53:04.175144
GB Packers @ ARI Cardinals,GB Packers,ARI Cardinals,-7,-112,44.5,-110,GB Packers: -375 / ARI Cardinals: +295,2025-10-19T12:53:04.175144
WAS Commanders @ DAL Cowboys,WAS Commanders,DAL Cowboys,1.5,-108,54.5,-112,WAS Commanders: +105 / DAL Cowboys: -125,2025-10-19T12:53:04.175144
ATL Falcons @ SF 49ers,ATL Falcons,SF 49ers,1.5,-115,46.5,-108,ATL Falcons: -102 / SF 49ers: -118,2025-10-19T12:53:04.175144
TB Buccaneers @ DET Lions,TB Buccaneers,DET Lions,6,-112,53.5,-105,TB Buccaneers: +230 / DET Lions: -285,2025-10-19T12:53:04.175144
HOU Texans @ SEA Seahawks,HOU Texans,SEA Seahawks,3,-110,41.5,-105,HOU Texans: +140 / SEA Seahawks: -166,2025-10-19T12:53:04.175144
MIN Vikings @ LA Chargers,MIN Vikings,LA Chargers,3,-110,42.5,-110,MIN Vikings: +136 / LA Chargers: -162,2025-10-19T12:53:04.175144
BUF Bills @ CAR Panthers,BUF Bills,CAR Panthers,-7,-115,48.5,-110,BUF Bills: -380 / CAR Panthers: +300,2025-10-19T12:53:04.175144
NY Jets @ CIN Bengals,NY Jets,CIN Bengals,4.5,-112,44.5,-110,NY Jets: +170 / CIN Bengals: -205,2025-10-19T12:53:04.175144
CHI Bears @ BAL Ravens,CHI Bears,BAL Ravens,6.5,-110,49.5,-112,CHI Bears: +245 / BAL Ravens: -305,2025-10-19T12:53:04.175144
CLE Browns @ NE Patriots,CLE Browns,NE Patriots,7,-110,40.5,-105,CLE Browns: +270 / NE Patriots: -340,2025-10-19T12:53:04.175144
NY Giants @ PHI Eagles,NY Giants,PHI Eagles,7.5,-110,41.5,-112,NY Giants: +295 / PHI Eagles: -375,2025-10-19T12:53:04.175144
MIA Dolphins @ ATL Falcons,MIA Dolphins,ATL Falcons,6,-110,45.5,-115,MIA Dolphins: +215 / ATL Falcons: -265,2025-10-19T12:53:04.175144
SF 49ers @ HOU Texans,SF 49ers,HOU Texans,1.5,-105,43.5,-110,SF 49ers: +105 / HOU Texans: -125,2025-10-19T12:53:04.175144
TB Buccaneers @ NO Saints,TB Buccaneers,NO Saints,-5.5,-115,47.5,-115,TB Buccaneers: -250 / NO Saints: +205,2025-10-19T12:53:04.175144
TEN Titans @ IND Colts,TEN Titans,IND Colts,11.5,-110,44.5,-115,TEN Titans: +575 / IND Colts: -850,2025-10-19T12:53:04.175144
DAL Cowboys @ DEN Broncos,DAL Cowboys,DEN Broncos,4.5,-108,47.5,-115,DAL Cowboys: +185 / DEN Broncos: -225,2025-10-19T12:53:04.175144
GB Packers @ PIT Steelers,GB Packers,PIT Steelers,-3.5,-110,45.5,-105,GB Packers: -185 / PIT Steelers: +154,2025-10-19T12:53:04.175144
WAS Commanders @ KC Chiefs,WAS Commanders,KC Chiefs,4.5,-105,50.5,-110,WAS Commanders: +205 / KC Chiefs: -250,2025-10-19T12:53:04.175144
TB Buccaneers @ DET Lions,TB Buccaneers,DET Lions,5.5,-105,54.5,-105,TB Buccaneers: +220 / DET Lions: -270,2025-10-20T17:25:19.124528
HOU Texans @ SEA Seahawks,HOU Texans,SEA Seahawks,3,-110,41.5,-105,HOU Texans: +140 / SEA Seahawks: -166,2025-10-20T17:25:19.124528
MIN Vikings @ LA Chargers,MIN Vikings,LA Chargers,3,-112,44.5,-112,MIN Vikings: +130 / LA Chargers: -155,2025-10-20T17:25:19.124528
BUF Bills @ CAR Panthers,BUF Bills,CAR Panthers,-7.5,-120,46.5,-105,BUF Bills: -425 / CAR Panthers: +330,2025-10-20T17:25:19.124528
NY Jets @ CIN Bengals,NY Jets,CIN Bengals,6.5,-105,44.5,-105,NY Jets: +245 / CIN Bengals: -305,2025-10-20T17:25:19.124528
CLE Browns @ NE Patriots,CLE Browns,NE Patriots,6.5,-105,40.5,-110,CLE Browns: +260 / NE Patriots: -325,2025-10-20T17:25:19.124528
CHI Bears @ BAL Ravens,CHI Bears,BAL Ravens,6.5,-110,50.5,-110,CHI Bears: +245 / BAL Ravens: -305,2025-10-20T17:25:19.124528
NY Giants @ PHI Eagles,NY Giants,PHI Eagles,7,-110,43.5,-110,NY Giants: +275 / PHI Eagles: -345,2025-10-20T17:25:19.124528
MIA Dolphins @ ATL Falcons,MIA Dolphins,ATL Falcons,7,-110,44.5,-112,MIA Dolphins: +275 / ATL Falcons: -345,2025-10-20T17:25:19.124528
SF 49ers @ HOU Texans,SF 49ers,HOU Texans,1.5,-115,42.5,-110,SF 49ers: +100 / HOU Texans: -120,2025-10-20T17:25:19.124528
TB Buccaneers @ NO Saints,TB Buccaneers,NO Saints,-5.5,-112,48.5,-110,TB Buccaneers: -258 / NO Saints: +210,2025-10-20T17:25:19.124528
TEN Titans @ IND Colts,TEN Titans,IND Colts,14,-110,47.5,-105,TEN Titans: +675 / IND Colts: -1050,2025-10-20T17:25:19.124528
DAL Cowboys @ DEN Broncos,DAL Cowboys,DEN Broncos,3,+100,49.5,-110,DAL Cowboys: +142 / DEN Broncos: -170,2025-10-20T17:25:19.124528
GB Packers @ PIT Steelers,GB Packers,PIT Steelers,-3.5,-102,44.5,-110,GB Packers: -180 / PIT Steelers: +150,2025-10-20T17:25:19.124528
WAS Commanders @ KC Chiefs,WAS Commanders,KC Chiefs,10,-102,48.5,-110,WAS Commanders: +425 / KC Chiefs: -575,2025-10-20T17:25:19.124528
